Show Name,Days Since Launch, Viewing Accounts ,Sonic Show ID
The Retro Plant Shop with Mikey and Jo,28," 187,903 ",go-show-23971
90 Day Journey: David & Annie,28," 107,654 ",go-show-12824
American Monster,28," 107,344 ",go-show-1561
The Dead Files,28," 105,730 ",go-show-12382
Reno My Rental,28," 170,129 ",go-show-21763
Impractical Jokers: Shark Week Spectacular,28," 181,666 ",go-show-24376
Big Restaurant Bet,28," 184,739 ",go-show-23765
Serengeti II,28," 176,510 ",go-show-21133
Devil in the Web,28," 180,634 ",go-show-24089
Deadliest Mums & Dads,28," 184,710 ",go-show-24208
Mysterious Planet,28," 103,402 ",go-show-12966
Homicide Hunter: Never Give Up,28," 179,105 ",go-show-24596
Clipped,28," 170,262 ",go-show-13750
Farmhouse Fixer,28," 170,296 ",go-show-13390
Flipping Showdown,28," 169,603 ",go-show-22655
Where Murder Lies,28," 151,849 ",go-show-13334
Tiny Food Fight,28," 163,633 ",go-show-21876
Worst Cooks in America,28," 100,775 ",go-show-946
Attack of the Murder Hornets,28," 151,753 ",go-show-13350
Chopped Next Gen,28," 164,932 ",go-show-14284
Stuck,28," 175,617 ",go-show-23550
Fixer Upper,28," 170,496 ",go-show-21288
Unexplained: Caught On Camera,28," 167,394 ",go-show-1539
Barbara Walters Presents,28," 99,722 ",go-show-3070
Return to Headstone Hell,28," 170,240 ",go-show-20762
The Julia Child Challenge,28," 179,274 ",go-show-23633
Houses With History,28," 159,181 ",go-show-22116
90 Day: Foody Call,28," 161,683 ",go-show-13774
"Love, Honor, Betray",28," 164,786 ",go-show-22537
Diary of an Old Home,28," 170,577 ",go-show-24496
Demon House,28," 161,264 ",go-show-1979
Beach Cottage Chronicles,28," 176,884 ",go-show-24184
Be My Guest with Ina Garten,28," 176,317 ",go-show-23702
Expedition Deep Ocean,28," 160,053 ",go-show-13697
Street Outlaws: End Game,28," 171,993 ",go-show-24281
Flip to A Million,28," 163,923 ",go-show-24445
Chasing Ocean Giants,28," 159,711 ",go-show-13788
The Williams Family Cabin,28," 154,249 ",go-show-24750
Deadly Women,28," 158,704 ",go-show-1419
BBQ USA,28," 169,115 ",go-show-24273
Street Outlaws: Gone Girl,28," 154,988 ",go-show-21572
Kindred Spirits,28," 93,947 ",go-show-12285
Well Done with Sebastian Maniscalco,28," 159,927 ",go-show-21178
Expedition Unknown,28," 92,806 ",go-show-12416
Envoy: Shark Cull,28," 157,905 ",go-show-20746
Tiffany Haddish Does Shark Week,28," 157,996 ",go-show-21077
The Grim Sleeper: Mind of a Monster,28," 155,402 ",go-show-13776
Fright Club,28," 134,365 ",go-show-13299
Detective Diaries,28," 148,736 ",go-show-22092
Meet Your Makers Showdown,28," 153,237 ",go-show-22494
A Perfect Planet,28," 91,366 ",go-show-12734
The Laundry Guy,28," 151,686 ",go-show-13404
Fruitcake Fraud,28," 152,479 ",go-show-22691
