,TITLE_ID,HOURS_VIEWED,TOTAL_CANCEL,TOTAL_VIEWER
775,GX5nrOA5jvaV2wgEAAABT,103402,451,10344
776,GXh3xfQz2rKXDAgEAAAgv,521,13,421
777,GVs8omQqyv7qGtt8IAABb,697,41,622
778,GWto8wwqAaHSTNQEAAAKD,466,27,463
779,GXup_aQMBwgq_tgEAAAGp,45309,610,21715
780,GXjxltgMPHcPDwwEAAAko,52,2,59
781,GYVRoxALmfsPCXwEAAAEN,18,1,13
782,GYgreuwHco8MJoAEAAAAF,0,0,1
783,GYWB69gYqEMNvrwEAAAAl,0,0,1
784,GYK0UvAc4lL23fQEAAABa,5,0,4
785,GYRH4lQOPExrCwwEAAAAk,1,0,1
786,GXmleSAxs_p4_wwEAADE5,95521,983,17037
787,GXmleewjcUCLCHAEAACBs,398508,1827,55192
788,GYA7uMgo_tkHDwwEAAAAE,102216,1005,24123
789,GYeB2ug0fksIOjAEAAABW,223748,4794,90891
790,GYS_1DQ3ANK29TgEAAAAg,75927,1413,35157
791,GWmKDEwGrA8JInwEAAAL6,319793,3359,87202
792,GXdRsewUPO5uAuwEAABEI,22913325,32023,727701
793,GVrUjbAdEfW7Dw7sIAAAT,18684,345,6322
794,GX-EdhwKKy5rDwwEAAACK,3203847,11189,209539
795,GWrpNUQ8IrsLCwwEAAAAC,1127,44,790
796,GWGwm2gpIf6mywwEAAACF,349686,3063,65721
797,GX78PxQSQRcISSQEAAABp,10528,554,10331
798,GXcsNwQU5L5uAuwEAAAPT,51738,564,10085
799,GXsaxgwKsAsJSwgEAAADx,4629,140,2483
800,GYUNFPwTNKYevHwEAAAAC,56533,366,7813
801,GXGR8ggjVM4GmwwEAAAAC,5513,112,2379
802,GYT4HFg1u3QdewgEAAATr,2466,43,1356
803,GXoUooA7iKZCtwwEAAAJV,1160,18,590
804,GYVtG8Q398zoLGwEAAAHq,53578,437,5863
805,GYXyPLAdPzINQEgEAAACF,2600,103,2138
806,GXqR-QwwaTr2_wwEAAANS,4277,54,1441
807,GYW2lAQhG6cLCYQEAAAB_,243,10,219
808,GXs_00g3oucMeAQEAAAAJ,3207,102,1515
809,GXyrfIgdgJVRWwgEAAADA,57306,782,12486
810,GVrw40gca3MPDwskIAAAN,209498,936,21687
811,GXyRDgAsFAsLCCQEAAAAC,22991,450,9705
812,GYXrd9gYYz3YiewEAAAAe,2843,61,1507
813,GYK1w1wIv28LCwwEAAAAE,1461,48,1050
814,GYNNLfQw-rLWHsgEAAAAo,433,25,466
