,title_series,legacy_series_id,ckg_series_id,imdb_id,program_type,primary_genre,first_release_date,theatrical_date,area_gross,budget,observed_medal,latam_home_medal,day_on_max,cumulative_viewing_subscribers,cumulative_first_views,percent_cumulative_viewing_subscribers,percent_cumulative_first_views,days_from_theatrical,genre_Action,genre_Comedy,genre_Drama,genre_Fantasy & Sci-Fi,genre_Horror,genre_Kids & Family,genre_Music,genre_Not A Genre,medal_Bronze,medal_Gold,medal_Platinum,medal_Silver,medal_number,log_cumulative_first_views,log_cumulative_viewing_subs
61,Space Jam: A New Legacy,GYOSUnARCGWWmcAEAAAAC,553302dd-ba13-4421-a1bb-6101e6ff1a3b,tt3554046,Acquired,Kids & Family,2021-08-19,2021-07-15,4893027.0,150000000.0,Platinum,Platinum,90.0,2988884.0,192583.0,39.158000,7.391700,35,0,0,0,0,0,1,0,0,0,0,1,0,0,17.555120831314163,21.511175475750612
62,Spider-Man: Across The Spider-Verse,GZS_zdAcKjrqspgEAABKH,08f3260f-1512-4c90-a3df-fc2e407ba708,tt9362722,Acquired,Not A Genre,2023-11-02,2023-06-01,12385980.0,150000000.0,Gold,Gold,90.0,1523021.0,84060.0,12.380700,2.681300,154,0,0,0,0,0,0,0,1,0,1,0,0,1,16.359131836039335,20.53850440372127
63,Spider-Man: No Way Home,GYqeASQeezEo8igEAAACK,GYqeASQeezEo8igEAAACK,tt10872600,Acquired,Action,2022-07-21,2021-12-16,46191154.0,200000000.0,Platinum,Platinum,90.0,4582838.0,150926.0,38.375400,3.760700,217,1,0,0,0,0,0,0,0,0,0,1,0,0,17.20348183457543,22.127809857714247
64,Spirit Untamed,GYfPcDwo9ccPDwwEAAAAD,GYfPcDwo9ccPDwwEAAAAD,tt11084896,Acquired,Comedy,2022-02-03,2021-08-19,401606.0,30000000.0,Bronze,Bronze,90.0,67563.0,387.0,0.682900,0.012600,168,0,1,0,0,0,0,0,0,1,0,0,0,3,8.59618975614441,16.04394576910129
65,Studio 666,GYxkOvAy7ZZa8kAEAAAnm,GYxkOvAy7ZZa8kAEAAAnm,tt15374070,Acquired,Horror,2022-10-06,2022-03-24,8046.0,,Bronze,Bronze,90.0,401310.0,2305.0,3.407300,0.082600,196,0,0,0,0,1,0,0,0,1,0,0,0,3,11.1705510353167,18.614357580643578
66,Tenet,GYEq4eApHYpA4cwEAAAAC,61979865-270b-460d-b209-915dd7706095,tt6723592,Acquired,Fantasy & Sci-Fi,2021-07-22,2020-12-31,669019.0,205000000.0,Gold,Gold,90.0,1080770.0,39865.0,14.357500,1.034700,203,0,0,0,1,0,0,0,0,0,1,0,0,1,15.282835048653078,20.04362810334549
68,The Batman,GYiDbSAmIpMNvYAEAAAAI,dfa50804-e6f6-4fa2-a732-693dbc50527b,tt1877830,Acquired,Action,2022-04-18,2022-03-03,20347237.0,185000000.0,Platinum,Platinum,90.0,5048143.0,249540.0,49.448100,8.411600,46,1,0,0,0,0,0,0,0,0,0,1,0,0,17.928911565254875,22.267321347804064
70,The Boss Baby: Family Business,GYiteZQTIW5ephQEAAABL,GYiteZQTIW5ephQEAAABL,tt6932874,Acquired,Comedy,2022-03-17,2021-07-22,1407275.0,82000000.0,Silver,Silver,90.0,929744.0,8336.0,9.349800,0.295500,238,0,1,0,0,0,0,0,0,0,0,0,1,2,13.025139562278508,19.826474007031347
71,The Conjuring: The Devil Made Me Do It,GYOYX9gphVFOLNgEAAAQR,5ed8a825-101d-4438-8153-f6d5c9b405f9,tt7069210,Acquired,Horror,2021-07-08,2021-06-03,6907782.0,39000000.0,Gold,Gold,90.0,1693398.0,160527.0,22.791100,3.342600,35,0,0,0,0,1,0,0,0,0,1,0,0,1,17.292456447734985,20.691489659595312
73,The Fabelmans,GZM1lAANSJ5fDVQEAACJ4,95302de9-e10b-460e-aaa4-729f51514f98,tt14208870,Acquired,Drama,2023-09-14,2023-01-26,418272.0,40000000.0,Bronze,Bronze,90.0,128224.0,1175.0,1.055100,0.038000,231,0,0,1,0,0,0,0,0,1,0,0,0,3,10.198445041452363,16.9683067944308
