,title_name,title_id,primary_genre_desc,program_type,air_date,theatrical_release_date,asset_run_time,offering_start_date,offering_end_date,territory,licensor
42,Funny Pages,GZA8uNgp3YZSgigEAABGo,comedy,acquired,2022-01-01,,4992.0,2023-04-16 21:00:00,2024-09-30 20:59:59,BULGARIA,A24
43,Funny Pages,GZA8uNgp3YZSgigEAABGo,comedy,acquired,2022-01-01,,4992.0,2023-04-16 21:00:00,2024-09-30 20:59:59,ROMANIA,A24
44,Funny Pages,GZA8uNgp3YZSgigEAABGo,comedy,acquired,2022-01-01,,4992.0,2023-04-16 22:00:00,2024-09-30 21:59:59,CZECHIA_SLOVAKIA,A24
45,Funny Pages,GZA8uNgp3YZSgigEAABGo,comedy,acquired,2022-01-01,,4992.0,2023-04-16 22:00:00,2024-09-30 21:59:59,ADRIA,A24
46,Funny Pages,GZA8uNgp3YZSgigEAABGo,comedy,acquired,2022-01-01,,4992.0,2023-04-16 22:00:00,2024-09-30 21:59:59,HUNGARY,A24
47,It Comes at Night,GYIjh8AKo1pGxLwEAAAKT,horror,acquired,2017-01-01,,5380.0,2021-05-31 03:00:00,2022-07-31 02:59:00,ARGENTINA,Mars Distribution|Roadshow Films|ANIMAL KINGDOM|A24
48,It Comes at Night,GYIjh8AKo1pGxLwEAAAKT,horror,acquired,2017-01-01,,5380.0,2023-01-05 22:00:00,2024-06-30 20:59:59,ROMANIA,Mars Distribution|Roadshow Films|ANIMAL KINGDOM|A24
49,It Comes at Night,GYIjh8AKo1pGxLwEAAAKT,horror,acquired,2017-01-01,,5380.0,2023-01-05 23:00:00,2024-06-30 21:59:59,HUNGARY,Mars Distribution|Roadshow Films|ANIMAL KINGDOM|A24
50,It Comes at Night,GYIjh8AKo1pGxLwEAAAKT,horror,acquired,2017-01-01,,5380.0,2023-01-18 23:00:00,2024-06-30 21:59:59,ADRIA,Mars Distribution|Roadshow Films|ANIMAL KINGDOM|A24
51,It Comes at Night,GYIjh8AKo1pGxLwEAAAKT,horror,acquired,2017-01-01,,5380.0,2023-01-05 23:00:00,2024-06-30 21:59:59,CZECHIA_SLOVAKIA,Mars Distribution|Roadshow Films|ANIMAL KINGDOM|A24
52,It Comes at Night,GYIjh8AKo1pGxLwEAAAKT,horror,acquired,2017-01-01,,5380.0,2021-05-31 03:00:00,2022-07-31 02:59:00,CARIBBEAN,Mars Distribution|Roadshow Films|ANIMAL KINGDOM|A24
53,It Comes at Night,GYIjh8AKo1pGxLwEAAAKT,horror,acquired,2017-01-01,,5380.0,2021-05-31 03:00:00,2022-07-31 02:59:00,REST OF LATAM,Mars Distribution|Roadshow Films|ANIMAL KINGDOM|A24
54,It Comes at Night,GYIjh8AKo1pGxLwEAAAKT,horror,acquired,2017-01-01,,5380.0,2021-05-31 05:00:00,2022-07-31 02:59:00,MEXICO,Mars Distribution|Roadshow Films|ANIMAL KINGDOM|A24
55,It Comes at Night,GYIjh8AKo1pGxLwEAAAKT,horror,acquired,2017-01-01,,5380.0,2021-05-31 03:00:00,2022-07-31 02:59:00,BRAZIL,Mars Distribution|Roadshow Films|ANIMAL KINGDOM|A24
