#,HBO MAX Title ID,Series Title (Long),Content Category,Production Budget,WBD Marketing Budget,Licensor,A24,New Line,Summit,Searchlight,Start Date,Length (mo),Revenue,Start Date,Length (mo),Window 1 Licensor,Start Date,Length (Mo),Revenue,Window 2 Licensor,Start Date,Length (Mo),Revenue,Window 3 Licensor,Start Date,Length (Mo),Revenue,Start Date,Length (mo),Volume,Revenue,Start Date,Length (mo),Volume,Revenue,Start Date,Length (mo),Volume,Revenue
86,GZNuevgZakcMrwwEAAAMd,The Nun II,movie,,,"[
  ""Atomic Monster"",
  ""The Safran Company"",
  ""Warner Bros"",
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,GYKa7VgOEd7TCwgEAAAAD,The Rite,movie,,,"[
  ""New Line Cinema"",
  ""Contrafilm""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,GYiDXlgDabmOwaQEAAAAE,The Secret Life of Walter Mitty,movie,,,"[
  ""New Line Cinema"",
  ""20th Century Fox Film Corporation"",
  ""Samuel Goldwyn Films"",
  ""Big Screen Productions"",
  ""Twentieth Century Fox Film Corp."",
  ""Ingenious Media"",
  ""Red Hour Films"",
  ""20th Century Studios"",
  ""Twentieth Century Fox Home Entertainment"",
  ""20th Century Fox Pictures"",
  ""Down Productions""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,GXrHxIweO4a2brQEAAAC7,The Time Traveler's Wife,movie,,,"[
  ""New Line Cinema"",
  ""Plan B Entertainment"",
  ""Nick Wechsler Productions""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,GY00Sewnn6pC_wwEAAAFc,Val,movie,,,"[
  ""A24"",
  ""Amazon Studios"",
  ""Boardwalk Pictures"",
  ""Cartel Film Production""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,GXk2j4Arr-I7CZgEAACRd,Willard,movie,,,"[
  ""Hard Eight Pictures Production"",
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,GY4oSLgFd-EG9tAEAAAOo,X,movie,,,"[
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,GYk7_Hwa5mL61wwEAAAAO,Zola,movie,,,"[
  ""Gigi Films"",
  ""A24"",
  ""Killer Films"",
  ""Ramona Films""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,GYc3xuwu2x5rCFgEAAALb,The Fallout,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,GYeB2LgKJ1cIOjAEAAABQ,Kimi,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,GYMzEGg049ruJvQEAAAAW,No Sudden Move,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,GYhfK9AxT1KKnnQEAAADT,Moonshot,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,GYtUdUQtVN3mangEAAAox,Eraser: Reborn,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,GY1_uNgldOTqGwwEAAABU,A Hollywood Christmas,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,GY2P7nwk70IGhwwEAAADH,Holiday Harmony,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,GY2QUhg4BOJ_DwgEAAAD-,A Christmas Mystery,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,GXtf0UwTqw8JHjQEAAAbT,Scoob!,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,GX5A8JQnSPQ2QFgEAAAAC,Roald Dahl’s The Witches,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,GX_3YsgTKcK_CSwEAAAAp,Locked Down,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
