title_number,title_name,offering_start_date,genre,medal,pred_type,M1,M2,M3,M4,M5
134.0,THE RIGHTEOUS GEMSTONES S5 / TBD,2026-03-01,action,Silver,future,-0.0008017953936998856,-0.00034254779835742055,-0.0001764376287254466,-0.00011635546665209469,-9.462370749847764e-05
135.0,2025 TBD SPECIALS,2025-05-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
136.0,EUPHORIA S4 / TBD,2026-10-01,drama,Platinum,future,-0.027341199489380304,-0.011680869911612197,-0.006016517982418462,-0.0039677180118667865,-0.0032266656599289675
137.0,HARD KNOCKS S20,2025-08-01,other,Silver,future,-0.0021922171865774577,-0.000936572068989068,-0.00048240437035445595,-0.0003181316028393623,-0.0002587140303695542
138.0,HOUSE OF THE DRAGON S3,2026-05-01,drama,Platinum,future,-0.034176499361725385,-0.01460108738951525,-0.00752064747802308,-0.004959647514833483,-0.00403333207491121
139.0,"LOVE TO LOVE YOU, DONNA SUMMER",2023-05-01,other,Silver,future,-0.002168136310519977,-0.0003278653147465445,-0.0002011049131166164,-0.00019237348200767387,-0.0001917720490031242
140.0,MOONAGE DAYDREAM,2023-04-01,other,Silver,future,-0.002168136310519977,-0.0003278653147465445,-0.0002011049131166164,-0.00019237348200767387,-0.0001917720490031242
141.0,LAST STOP LARRIMAH,2023-10-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
142.0,NO ACCIDENT,2023-10-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
143.0,SAVIOR COMPLEX,2023-09-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
144.0,TAYLOR MAC'S 24-DECADE HISTORY OF POPULAR MUSIC,2023-06-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
145.0,INDUSTRY S3,2024-08-01,drama,Silver,future,-0.002204421899331716,-0.0009417862389835653,-0.00048509005624708753,-0.0003199027343013723,-0.00026015436686791296
146.0,ALL THAT BREATHES,2023-02-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
147.0,THE RINGLEADER,2023-10-01,other,Silver,future,-0.0016261022328899826,-0.00024589898605990835,-0.00015082868483746228,-0.0001442801115057554,-0.0001438290367523431
148.0,BORDERLANDS,2025-06-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
149.0,CHARLES STUART MURDER,2023-12-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
150.0,COUNTRY DOCTOR,2025-08-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
151.0,DANIEL,2023-12-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
152.0,DONYALE LUNA: SUPERMODEL,2023-09-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
153.0,GREAT PHOTO LOVELY LIFE,2023-12-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
154.0,LION QUEEN,2026-04-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
155.0,1000% ME: GROWING UP MIXED,2023-05-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
156.0,ESPIONAGE,2024-09-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
157.0,SANDY HOOK PARENTS V. ALEX JONES,2024-03-01,other,Silver,future,-0.0016261022328899826,-0.00024589898605990835,-0.00015082868483746228,-0.0001442801115057554,-0.0001438290367523431
158.0,SUPERBUG,2026-03-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
159.0,TREES AND OTHER ENTANGLEMENTS,2023-12-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
