,genre,medal,category,is_pay_1,hit_series,program_type,days_on_hbo_max,asset_run_time_hours,churn_per_hr_person,change_in_churn_prediction
3378,other,Platinum,movies,0,0,original,78,1.6302582698197332,-0.026196999079803912,-1.8114570230447797e-05
3379,other,Platinum,movies,0,0,original,79,1.6302582698197332,-0.026196999079803912,-1.8073934100068187e-05
3380,other,Platinum,movies,0,0,original,80,1.6302582698197332,-0.026196999079803912,-1.803676496921047e-05
3381,other,Platinum,movies,0,0,original,81,1.6302582698197332,-0.026196999079803912,-1.800276703988471e-05
3382,other,Platinum,movies,0,0,original,82,1.6302582698197332,-0.026196999079803912,-1.7971669751038657e-05
3383,other,Platinum,movies,0,0,original,83,1.6302582698197332,-0.026196999079803912,-1.7943225625388853e-05
3384,other,Platinum,movies,0,0,original,84,1.6302582698197332,-0.026196999079803912,-1.7917208299956183e-05
3385,other,Platinum,movies,0,0,original,85,1.6302582698197332,-0.026196999079803912,-1.7893410724632422e-05
3386,other,Platinum,movies,0,0,original,86,1.6302582698197332,-0.026196999079803912,-1.787164351444183e-05
3387,other,Platinum,movies,0,0,original,87,1.6302582698197332,-0.026196999079803912,-1.785173344238468e-05
3388,other,Platinum,movies,0,0,original,88,1.6302582698197332,-0.026196999079803912,-1.7833522060868636e-05
3389,other,Platinum,movies,0,0,original,89,1.6302582698197332,-0.026196999079803912,-1.7816864440757016e-05
3390,other,Platinum,movies,0,0,original,90,1.6302582698197332,-0.026196999079803912,-1.7801628017999168e-05
3391,other,Platinum,movies,0,0,original,91,1.6302582698197332,-0.026196999079803912,-1.778769153866416e-05
3392,other,Platinum,movies,0,0,original,92,1.6302582698197332,-0.026196999079803912,-1.7774944093982302e-05
3393,other,Platinum,movies,0,0,original,93,1.6302582698197332,-0.026196999079803912,-1.77632842377151e-05
3394,other,Platinum,movies,0,0,original,94,1.6302582698197332,-0.026196999079803912,-1.775261917882959e-05
3395,other,Platinum,movies,0,0,original,95,1.6302582698197332,-0.026196999079803912,-1.7742864043052202e-05
3396,other,Platinum,movies,0,0,original,96,1.6302582698197332,-0.026196999079803912,-1.7733941197425476e-05
3397,other,Platinum,movies,0,0,original,97,1.6302582698197332,-0.026196999079803912,-1.7725779632492378e-05
3398,other,Platinum,movies,0,0,original,98,1.6302582698197332,-0.026196999079803912,-1.7718314397191477e-05
3399,other,Platinum,movies,0,0,original,99,1.6302582698197332,-0.026196999079803912,-1.771148608196582e-05
3400,other,Platinum,movies,0,0,original,100,1.6302582698197332,-0.026196999079803912,-1.7705240345972028e-05
3401,other,Platinum,movies,0,0,original,101,1.6302582698197332,-0.026196999079803912,-1.7699527484627027e-05
3402,other,Platinum,movies,0,0,original,102,1.6302582698197332,-0.026196999079803912,-1.7694302034050887e-05
3403,other,Platinum,movies,0,0,original,103,1.6302582698197332,-0.026196999079803912,-1.7689522409257857e-05
3404,other,Platinum,movies,0,0,original,104,1.6302582698197332,-0.026196999079803912,-1.7685150573216304e-05
3405,other,Platinum,movies,0,0,original,105,1.6302582698197332,-0.026196999079803912,-1.7681151734143807e-05
3406,other,Platinum,movies,0,0,original,106,1.6302582698197332,-0.026196999079803912,-1.7677494068628512e-05
3407,other,Platinum,movies,0,0,original,107,1.6302582698197332,-0.026196999079803912,-1.7674148468373226e-05
3408,other,Platinum,movies,0,0,original,108,1.6302582698197332,-0.026196999079803912,-1.7671088308546874e-05
3409,other,Platinum,movies,0,0,original,109,1.6302582698197332,-0.026196999079803912,-1.7668289235899724e-05
3410,other,Platinum,movies,0,0,original,110,1.6302582698197332,-0.026196999079803912,-1.766572897495632e-05
3411,other,Platinum,movies,0,0,original,111,1.6302582698197332,-0.026196999079803912,-1.7663387150743572e-05
3412,other,Platinum,movies,0,0,original,112,1.6302582698197332,-0.026196999079803912,-1.7661245126643436e-05
3413,other,Platinum,movies,0,0,original,113,1.6302582698197332,-0.026196999079803912,-1.7659285856079663e-05
3414,other,Platinum,movies,0,0,original,114,1.6302582698197332,-0.026196999079803912,-1.765749374685838e-05
3415,other,Platinum,movies,0,0,original,115,1.6302582698197332,-0.026196999079803912,-1.7655854537082876e-05
3416,other,Platinum,movies,0,0,original,116,1.6302582698197332,-0.026196999079803912,-1.765435518165508e-05
3417,other,Platinum,movies,0,0,original,117,1.6302582698197332,-0.026196999079803912,-1.76529837484606e-05
3418,other,Platinum,movies,0,0,original,118,1.6302582698197332,-0.026196999079803912,-1.7651729323410967e-05
3419,other,Platinum,movies,0,0,original,119,1.6302582698197332,-0.026196999079803912,-1.7650581923587576e-05
