,Type,Channel,Title,Year,Genre,Runtime,Bucket,MPM from Prior List,Tentpole,Additional Titles to Pull,PRODUCT ID,Product ID,Co-Fi?,Unnamed: 13,UPDATED PRODUCT ID,Different than Original?,imdb_id,MPM_NUMBER
125,Movie,Rom-Coms,Trojan War,1997.0,COMEDY ,1.4,C,not in prior list,No,,2003559.0,1002682.0,No,,2003559.0,No,,
126,Movie,Rom-Coms,Father's Day,1997.0,COMEDY ,1.7,C,not in prior list,No,,2005181.0,1004072.0,No,,,,,
127,Movie,Rom-Coms,Twelfth Night,1996.0,COMEDY ,2.23,C,not in prior list,No,,2017054.0,1013363.0,No,,2017054.0,No,,
128,Movie,Rom-Coms,Feeling Minnesota,1996.0,COMEDY ,1.58,C,not in prior list,No,,2017030.0,1013340.0,No,,2017030.0,No,,
129,Movie,Rom-Coms,Forget Paris,1995.0,COMEDY ,1.68,C,not in prior list,No,,2015316.0,1011869.0,No,,2015316.0,No,tt0113097,2015316.0
130,Movie,Rom-Coms,For Better or Worse,1995.0,COMEDY ,1.58,C,not in prior list,No,,2015315.0,1011868.0,No,,2015315.0,No,,
131,Movie,Rom-Coms,Even Cowgirls Get The Blues,1994.0,COMEDY ,1.7,C,2016709,No,,2016709.0,1013035.0,No,,2016709.0,No,,
132,Movie,Rom-Coms,With Honors,1994.0,COMEDY ,1.66,C,not in prior list,No,,2003297.0,1002420.0,No,,2003297.0,No,tt0111732,2003297.0
133,Movie,Rom-Coms,Naked In New York,1994.0,COMEDY ,1.6,C,not in prior list,No,,2016764.0,1013090.0,No,,2016764.0,No,,
134,Movie,Rom-Coms,Mr. Wonderful,1993.0,COMEDY ,1.65,C,not in prior list,No,,2003259.0,1002382.0,No,,2003259.0,No,tt0107613,2003259.0
135,Movie,Rom-Coms,Three Of Hearts,1993.0,COMEDY ,1.71,C,not in prior list,No,,2016809.0,1013134.0,No,,2016809.0,No,,
136,Movie,Rom-Coms,Used People,1992.0,COMEDY ,1.91,C,not in prior list,No,,2042180.0,1026345.0,No,,2042180.0,No,,
137,Movie,Rom-Coms,Singles,1992.0,COMEDY ,1.65,C,not in prior list,No,,2002542.0,1001880.0,No,,2002542.0,No,tt0105415,2002542.0
138,Movie,Rom-Coms,Book Of Love,1991.0,COMEDY ,1.36,C,not in prior list,No,,2016680.0,1013006.0,No,,2016680.0,No,tt0099166,2016680.0
139,Movie,Rom-Coms,Sibling Rivalry,1990.0,COMEDY ,1.46,C,not in prior list,No,,2015277.0,1011838.0,No,,2015277.0,No,,
140,Movie,Rom-Coms,Joe Versus the Volcano,1990.0,COMEDY ,1.7,C,2002470,No,,2002470.0,1001808.0,Yes,,2002470.0,No,tt0099892,2002470.0
141,Movie,Rom-Coms,Her Alibi,1989.0,COMEDY ,1.58,C,not in prior list,No,,2002406.0,1001744.0,No,,2002406.0,No,,
142,Movie,Rom-Coms,Crossing Delancey,1988.0,COMEDY ,1.6,C,not in prior list,No,,2002325.0,1001666.0,No,,2002325.0,No,tt0094921,2002325.0
143,Movie,Rom-Coms,In the Mood,1987.0,COMEDY ,1.63,C,not in prior list,No,,2002292.0,1001635.0,No,,2002292.0,No,,
144,Movie,Rom-Coms,Who's That Girl,1987.0,COMEDY ,1.53,C,not in prior list,No,,2002233.0,1001577.0,No,,2002233.0,No,tt0094321,2002233.0
145,Movie,Rom-Coms,My Demon Lover,1987.0,COMEDY ,1.45,C,not in prior list,No,,2016761.0,1013087.0,No,,2016761.0,No,,
146,Movie,Rom-Coms,Club Paradise,1986.0,COMEDY ,1.6,C,not in prior list,No,,2002193.0,1001538.0,No,,2002193.0,No,,
147,Movie,Rom-Coms,Mr. Love,1986.0,COMEDY ,1.53,C,not in prior list,No,,2002190.0,1001535.0,Yes,,2002190.0,No,,
148,Movie,Rom-Coms,French Lessons,1986.0,COMEDY ,1.51,C,not in prior list,No,,2002189.0,1001534.0,No,,,,,
149,Movie,Rom-Coms,Lost in America,1985.0,COMEDY ,1.53,C,not in prior list,No,,2002122.0,1001467.0,No,,2002122.0,No,tt0089504,2002122.0
150,Movie,Rom-Coms,Local Hero,1983.0,COMEDY ,1.9,C,not in prior list,No,,2002072.0,1001417.0,No,,2002072.0,No,,
151,Movie,Rom-Coms,Lovesick,1983.0,COMEDY ,1.6,CLASSIC,not in prior list,No,,2002038.0,1001386.0,No,,2002038.0,No,,
152,Movie,Rom-Coms,Best Friends,1982.0,COMEDY ,1.81,CLASSIC,not in prior list,No,,2002035.0,1001383.0,No,,2002035.0,No,,
153,Movie,Rom-Coms,My Favorite Year,1982.0,COMEDY ,1.53,CLASSIC,2012126,No,,2012126.0,1009779.0,No,,2012126.0,No,tt0084370,2012126.0
154,Movie,Rom-Coms,Night Shift,1982.0,COMEDY ,1.78,CLASSIC,not in prior list,No,,2002039.0,1001387.0,No,,2002039.0,No,tt0084412,2002039.0
155,Movie,Rom-Coms,Soup for One,1982.0,COMEDY ,1.41,CLASSIC,not in prior list,No,,2002000.0,1001350.0,No,,,,,
156,Movie,Rom-Coms,So Fine,1981.0,COMEDY ,1.53,CLASSIC,not in prior list,No,,2002001.0,1001351.0,No,,2002001.0,No,,
157,Movie,Rom-Coms,Second Hand Hearts,1981.0,COMEDY ,1.61,CLASSIC,not in prior list,No,,2011636.0,1009328.0,No,,2011636.0,No,,
158,Movie,Rom-Coms,Just Tell Me What You Want,1980.0,COMEDY ,1.86,CLASSIC,not in prior list,No,,2001929.0,1001280.0,No,,2001929.0,No,,
159,Movie,Rom-Coms,"""10""",1979.0,COMEDY ,2.03,C,2001931,No,,2001931.0,1001282.0,No,,2001931.0,No,tt0078721,2001931.0
160,Movie,Rom-Coms,"Little Romance, A",1979.0,COMEDY ,1.81,C,not in prior list,No,,2001919.0,1001271.0,No,,2001919.0,No,,
161,Movie,Rom-Coms,"Goodbye Girl, The",1977.0,COMEDY ,1.83,CLASSIC,2001841,No,,2001841.0,1001198.0,No,,2001841.0,No,tt0076095,2001841.0
162,Movie,Rom-Coms,Blume in Love,1973.0,COMEDY ,2.0,CLASSIC,not in prior list,No,,2001647.0,1001011.0,No,,2001647.0,No,,
163,Movie,Rom-Coms,"THIEF  WHO CAME TO DINNER, THE",1973.0,COMEDY ,1.75,CLASSIC,not in prior list,No,,2001639.0,1001003.0,No,,2001639.0,No,,
164,Movie,Rom-Coms,"What's Up, Doc?",1972.0,COMEDY ,1.56,C,not in prior list,No,,2021029.0,1016162.0,No,,,,,
165,Movie,Rom-Coms,Summer of '42,1971.0,COMEDY ,1.75,CLASSIC,not in prior list,No,,2001596.0,1000961.0,No,,2001596.0,No,tt0067803,2001596.0
166,Movie,Rom-Coms,"I Love You, Alice B. Toklas",1968.0,COMEDY ,1.56,CLASSIC,2001534,No,,2001534.0,1000899.0,No,,2001534.0,No,,
167,Movie,Rom-Coms,"Live a Little, Love a Little",1968.0,COMEDY ,1.5,C,not in prior list,No,,2010301.0,1008158.0,No,,2010301.0,No,,
168,Movie,Rom-Coms,Speedway,1968.0,COMEDY ,1.56,C,not in prior list,No,,2007044.0,1005562.0,No,,2010017.0,Yes,tt0063634,2010017.0
169,Movie,Rom-Coms,Sweet November (1968),1968.0,COMEDY ,1.9,CLASSIC,not in prior list,No,,2001508.0,1000874.0,Yes,,2001508.0,No,,
170,Movie,Rom-Coms,"Cool Ones, The",1967.0,COMEDY ,1.58,CLASSIC,not in prior list,No,,2001467.0,1000834.0,No,,2001467.0,No,,
171,Movie,Rom-Coms,Don't Make Waves,1967.0,COMEDY ,1.61,CLASSIC,not in prior list,No,,2009932.0,1007821.0,No,,2009932.0,No,,
172,Movie,Rom-Coms,Kaleidoscope,1967.0,COMEDY ,1.71,CLASSIC,not in prior list,No,,2001462.0,1000829.0,No,,,,,
173,Movie,Rom-Coms,Not With My Wife You Don't,1967.0,COMEDY ,1.98,CLASSIC,not in prior list,No,,2001463.0,1000830.0,No,,,,,
174,Movie,Rom-Coms,Three Bites of the Apple,1967.0,COMEDY ,1.75,CLASSIC,not in prior list,No,,2009921.0,1007810.0,No,,2009921.0,No,,
