Type,Channel,Title,Year,Genre,Runtime,Bucket,MPM from Prior List,Tentpole,Additional Titles to Pull,PRODUCT ID,Product ID,Co-Fi?,,UPDATED PRODUCT ID,Different than Original?
Movie,Action,Black Eye,1974,ACTION ,1.63,C,2001701,No,,2001701,1001063,No,,2001701,No
Movie,Action,Freebie and the Bean,1974,ACTION ,1.88,CLASSIC,not in prior list,No,,2001700,1001062,No,,2001700,No
Movie,Action,McQ,1974,ACTION ,1.93,CLASSIC,not in prior list,No,,2001695,1001057,No,,2001695,No
Movie,Action,Black Belt Jones,1974,ACTION ,1.43,C,2001694,No,,2001694,1001056,No,,2001694,No
Movie,Action,"Outfit, The",1974,ACTION ,1.71,CLASSIC,not in prior list,No,,2010930,1008679,No,,#N/A,#N/A
Movie,Action,"Super Cops, The",1974,ACTION ,1.56,CLASSIC,not in prior list,No,,2010932,1008681,No,,2010932,No
Movie,Action,"Mackintosh Man, The",1973,ACTION ,1.65,CLASSIC,not in prior list,No,,2001651,1001014,No,,2001651,No
Movie,Action,Doberman Gang,1972,ACTION ,1.41,CLASSIC,not in prior list,No,,2011349,1009071,No,,2011349,No
Movie,Action,"Getaway, The (1972)",1972,ACTION ,2.03,CLASSIC,2003526,No,,2003526,1002649,No,,2003526,No
Movie,Action,Melinda,1972,ACTION ,1.81,CLASSIC,not in prior list,No,,2010745,1008502,No,,2010745,No
Movie,Action,Sitting Target,1972,ACTION ,1.55,CLASSIC,not in prior list,No,,2010731,1008488,No,,2010731,No
Movie,Action,Skyjacked,1972,ACTION,1.68,CLASSIC,2010739,No,,2010739,1008496,No,,2010739,No
Movie,Action,Snow Job,1972,ACTION ,1.5,CLASSIC,not in prior list,No,,2001615,1000980,No,,2001615,No
Movie,Action,"Omega Man, The",1971,ACTION ,1.65,CLASSIC,not in prior list,No,,2001602,1000967,No,,2001602,No
Movie,Action,Get Carter (1971),1971,ACTION ,1.86,CLASSIC,not in prior list,No,,2010604,1008370,No,,2010604,No
Movie,Action,"Last Run, The",1971,ACTION ,1.65,CLASSIC,not in prior list,No,,2010622,1008387,No,,2010622,No
Movie,Action,No Blade of Grass,1970,ACTION ,1.61,CLASSIC,not in prior list,No,,2010594,1008361,No,,2010594,No
Movie,Action,Alfred the Great,1969,ACTION ,2.03,CLASSIC,not in prior list,No,,2010466,1008233,No,,2010466,No
Movie,Action,"Green Berets, The",1969,ACTION ,2.35,C,not in prior list,No,,2001529,1000894,No,,#N/A,#N/A
Movie,Action,Bullitt,1968,ACTION ,1.73,C,2001538,No,,2001538,1000903,No,,2001538,No
Movie,Rom-Coms,Crazy Rich Asians,2018,COMEDY ,2,A,not in prior list,Yes,,2077273,1043373,Yes,,2077273,No
Movie,Rom-Coms,Wedding Crashers,2005,COMEDY ,1.98,A,not in prior list,Yes,,2029440,1023260,No,,2029440,No
Movie,Rom-Coms,Valentine's Day,2010,COMEDY ,2.08,A,not in prior list,Yes,,2049382,1030002,No,,2049382,No
Movie,Rom-Coms,"CRAZY, STUPID, LOVE 2011",2011,COMEDY ,1.83,A,not in prior list,Yes,,2053676,1032338,No,,#N/A,#N/A
Movie,Rom-Coms,"Wedding Singer, The",1998,COMEDY ,1.60,A,not in prior list,Yes,,2017099,1013408,No,,2017099,No
Movie,Rom-Coms,He's Just Not That Into You,2009,COMEDY ,2.12,B,not in prior list,Yes,,2047069,1028735,No,,2047069,No
Movie,Rom-Coms,Ghosts Of Girlfriends Past,2009,COMEDY ,1.68,B,not in prior list,Yes,,2046422,1028328,No,,2046422,No
Movie,Rom-Coms,Life As We Know It,2010,COMEDY ,1.92,B,not in prior list,Yes,,2051950,1031408,No,,2051950,No
Movie,Rom-Coms,Two Weeks Notice,2002,COMEDY ,1.70,A,not in prior list,Yes,,2004700,1003791,Yes,,2004700,No
Movie,Rom-Coms,You've Got Mail,1998,COMEDY ,1.98,A,not in prior list,Yes,,2003667,1002790,No,,2003667,No
Movie,Rom-Coms,Just Friends,2005,COMEDY ,1.57,A,not in prior list,Yes,,2021432,1016422,No,,2040158,Yes
Movie,Rom-Coms,Love Don't Cost a Thing,2003,COMEDY ,1.75,B,not in prior list,Yes,,2024772,1018942,No,,2024772,No
Movie,Rom-Coms,How To Be Single,2016,COMEDY ,1.83,A,not in prior list,Yes,,2051603,1031226,Yes,,2051603,No
Movie,Rom-Coms,Blended,2014,COMEDY ,1.95,A,not in prior list,Yes,,2046990,1028676,No,,2046990,No
Movie,Rom-Coms,Something Borrowed 2011,2011,COMEDY ,1.88,B,not in prior list,Yes,,2054357,1032677,No,,#N/A,#N/A
Movie,Rom-Coms,Flipped,2010,COMEDY ,1.5,C,not in prior list,No,x,2051018,1030870,No,,2051018,No
Movie,Rom-Coms,Chaos Theory,2008,COMEDY ,1.46,C,not in prior list,No,x,2037673,1024982,Yes,,2037673,No
Movie,Rom-Coms,Over Her Dead Body,2008,COMEDY ,1.58,C,not in prior list,No,x,2047462,1028961,No,,#N/A,#N/A
Movie,Rom-Coms,In the Land of Women,2007,COMEDY ,1.65,C,not in prior list,No,x,2031210,1023534,No,,#N/A,#N/A
Movie,Rom-Coms,Full Of It,2007,COMEDY ,1.55,C,not in prior list,No,x,2044439,1027292,No,,2044439,No
Movie,Rom-Coms,"Upside Of Anger, The",2005,COMEDY ,1.93,C,not in prior list,No,x,2034207,1023815,No,,2034207,No
Movie,Rom-Coms,Laws Of Attraction,2004,COMEDY ,1.45,C,not in prior list,No,x,2026834,1020764,No,,2026834,No
Movie,Rom-Coms,Chasing Liberty,2004,COMEDY ,1.85,C,not in prior list,No,x,2026972,1020892,No,,2026972,No
Movie,Rom-Coms,How To Deal,2003,COMEDY ,1.68,C,not in prior list,No,x,2024499,1018680,No,,2024499,No
Movie,Rom-Coms,Alex & Emma,2003,COMEDY ,1.66,C,not in prior list,No,x,2024154,1018482,No,,2024154,No
Movie,Rom-Coms,Human Nature,2002,COMEDY ,1.6,C,not in prior list,No,x,2016888,1013210,No,,#N/A,#N/A
Movie,Rom-Coms,Storytelling,2002,COMEDY ,1.45,C,not in prior list,No,,2016893,1013215,No,,#N/A,#N/A
Movie,Rom-Coms,Town & Country,2001,COMEDY ,1.76,C,not in prior list,No,,2017123,1013432,No,,2017123,No
Movie,Rom-Coms,"Bachelor, The (1999)",1999,COMEDY ,1.7,C,not in prior list,No,,2017132,1013441,No,,2017132,No
Movie,Rom-Coms,Man Of The Century,1999,COMEDY ,1.3,C,not in prior list,No,,2017159,1013468,No,,2017159,No
Movie,Rom-Coms,Three to Tango,1999,COMEDY ,1.63,C,not in prior list,No,,2003706,1002829,Yes,,2003706,No
Movie,Rom-Coms,Lost And Found,1999,COMEDY ,1.66,C,not in prior list,No,,2003720,1002843,No,,2003720,No
Movie,Rom-Coms,Theory Of Flight,1998,COMEDY ,1.63,C,not in prior list,No,,2017112,1013421,No,,2017112,No
Movie,Rom-Coms,Home Fries,1998,COMEDY ,1.53,C,not in prior list,No,,2003568,1002691,No,,2003568,No
Movie,Rom-Coms,Living Out Loud,1998,COMEDY ,1.66,C,not in prior list,No,,2017110,1013419,No,,2017110,No
Movie,Rom-Coms,Trojan War,1997,COMEDY ,1.4,C,not in prior list,No,,2003559,1002682,No,,2003559,No
Movie,Rom-Coms,Father's Day,1997,COMEDY ,1.7,C,not in prior list,No,,2005181,1004072,No,,#N/A,#N/A
Movie,Rom-Coms,Twelfth Night,1996,COMEDY ,2.23,C,not in prior list,No,,2017054,1013363,No,,2017054,No
Movie,Rom-Coms,Feeling Minnesota,1996,COMEDY ,1.58,C,not in prior list,No,,2017030,1013340,No,,2017030,No
Movie,Rom-Coms,Forget Paris,1995,COMEDY ,1.68,C,not in prior list,No,,2015316,1011869,No,,2015316,No
Movie,Rom-Coms,For Better or Worse,1995,COMEDY ,1.58,C,not in prior list,No,,2015315,1011868,No,,2015315,No
Movie,Rom-Coms,Even Cowgirls Get The Blues,1994,COMEDY ,1.7,C,2016709,No,,2016709,1013035,No,,2016709,No
Movie,Rom-Coms,With Honors,1994,COMEDY ,1.66,C,not in prior list,No,,2003297,1002420,No,,2003297,No
Movie,Rom-Coms,Naked In New York,1994,COMEDY ,1.6,C,not in prior list,No,,2016764,1013090,No,,2016764,No
Movie,Rom-Coms,Mr. Wonderful,1993,COMEDY ,1.65,C,not in prior list,No,,2003259,1002382,No,,2003259,No
Movie,Rom-Coms,Three Of Hearts,1993,COMEDY ,1.71,C,not in prior list,No,,2016809,1013134,No,,2016809,No
Movie,Rom-Coms,Used People,1992,COMEDY ,1.91,C,not in prior list,No,,2042180,1026345,No,,2042180,No
Movie,Rom-Coms,Singles,1992,COMEDY ,1.65,C,not in prior list,No,,2002542,1001880,No,,2002542,No
Movie,Rom-Coms,Book Of Love,1991,COMEDY ,1.36,C,not in prior list,No,,2016680,1013006,No,,2016680,No
Movie,Rom-Coms,Sibling Rivalry,1990,COMEDY ,1.46,C,not in prior list,No,,2015277,1011838,No,,2015277,No
Movie,Rom-Coms,Joe Versus the Volcano,1990,COMEDY ,1.7,C,2002470,No,,2002470,1001808,Yes,,2002470,No
Movie,Rom-Coms,Her Alibi,1989,COMEDY ,1.58,C,not in prior list,No,,2002406,1001744,No,,2002406,No
Movie,Rom-Coms,Crossing Delancey,1988,COMEDY ,1.6,C,not in prior list,No,,2002325,1001666,No,,2002325,No
Movie,Rom-Coms,In the Mood,1987,COMEDY ,1.63,C,not in prior list,No,,2002292,1001635,No,,2002292,No
Movie,Rom-Coms,Who's That Girl,1987,COMEDY ,1.53,C,not in prior list,No,,2002233,1001577,No,,2002233,No
Movie,Rom-Coms,My Demon Lover,1987,COMEDY ,1.45,C,not in prior list,No,,2016761,1013087,No,,2016761,No
Movie,Rom-Coms,Club Paradise,1986,COMEDY ,1.6,C,not in prior list,No,,2002193,1001538,No,,2002193,No
Movie,Rom-Coms,Mr. Love,1986,COMEDY ,1.53,C,not in prior list,No,,2002190,1001535,Yes,,2002190,No
Movie,Rom-Coms,French Lessons,1986,COMEDY ,1.51,C,not in prior list,No,,2002189,1001534,No,,#N/A,#N/A
Movie,Rom-Coms,Lost in America,1985,COMEDY ,1.53,C,not in prior list,No,,2002122,1001467,No,,2002122,No
Movie,Rom-Coms,Local Hero,1983,COMEDY ,1.9,C,not in prior list,No,,2002072,1001417,No,,2002072,No
Movie,Rom-Coms,Lovesick,1983,COMEDY ,1.6,CLASSIC,not in prior list,No,,2002038,1001386,No,,2002038,No
Movie,Rom-Coms,Best Friends,1982,COMEDY ,1.81,CLASSIC,not in prior list,No,,2002035,1001383,No,,2002035,No
Movie,Rom-Coms,My Favorite Year,1982,COMEDY ,1.53,CLASSIC,2012126,No,,2012126,1009779,No,,2012126,No
Movie,Rom-Coms,Night Shift,1982,COMEDY ,1.78,CLASSIC,not in prior list,No,,2002039,1001387,No,,2002039,No
Movie,Rom-Coms,Soup for One,1982,COMEDY ,1.41,CLASSIC,not in prior list,No,,2002000,1001350,No,,#N/A,#N/A
Movie,Rom-Coms,So Fine,1981,COMEDY ,1.53,CLASSIC,not in prior list,No,,2002001,1001351,No,,2002001,No
Movie,Rom-Coms,Second Hand Hearts,1981,COMEDY ,1.61,CLASSIC,not in prior list,No,,2011636,1009328,No,,2011636,No
Movie,Rom-Coms,Just Tell Me What You Want,1980,COMEDY ,1.86,CLASSIC,not in prior list,No,,2001929,1001280,No,,2001929,No
Movie,Rom-Coms,"""10""",1979,COMEDY ,2.03,C,2001931,No,,2001931,1001282,No,,2001931,No
Movie,Rom-Coms,"Little Romance, A",1979,COMEDY ,1.81,C,not in prior list,No,,2001919,1001271,No,,2001919,No
Movie,Rom-Coms,"Goodbye Girl, The",1977,COMEDY ,1.83,CLASSIC,2001841,No,,2001841,1001198,No,,2001841,No
Movie,Rom-Coms,Blume in Love,1973,COMEDY ,2,CLASSIC,not in prior list,No,,2001647,1001011,No,,2001647,No
Movie,Rom-Coms,"THIEF  WHO CAME TO DINNER, THE",1973,COMEDY ,1.75,CLASSIC,not in prior list,No,,2001639,1001003,No,,2001639,No
Movie,Rom-Coms,"What's Up, Doc?",1972,COMEDY ,1.56,C,not in prior list,No,,2021029,1016162,No,,#N/A,#N/A
Movie,Rom-Coms,Summer of '42,1971,COMEDY ,1.75,CLASSIC,not in prior list,No,,2001596,1000961,No,,2001596,No
Movie,Rom-Coms,"I Love You, Alice B. Toklas",1968,COMEDY ,1.56,CLASSIC,2001534,No,,2001534,1000899,No,,2001534,No
Movie,Rom-Coms,"Live a Little, Love a Little",1968,COMEDY ,1.5,C,not in prior list,No,,2010301,1008158,No,,2010301,No
Movie,Rom-Coms,Speedway,1968,COMEDY ,1.56,C,not in prior list,No,,2007044,1005562,No,,2010017,Yes
Movie,Rom-Coms,Sweet November (1968),1968,COMEDY ,1.9,CLASSIC,not in prior list,No,,2001508,1000874,Yes,,2001508,No
Movie,Rom-Coms,"Cool Ones, The",1967,COMEDY ,1.58,CLASSIC,not in prior list,No,,2001467,1000834,No,,2001467,No
Movie,Rom-Coms,Don't Make Waves,1967,COMEDY ,1.61,CLASSIC,not in prior list,No,,2009932,1007821,No,,2009932,No
Movie,Rom-Coms,Kaleidoscope,1967,COMEDY ,1.71,CLASSIC,not in prior list,No,,2001462,1000829,No,,#N/A,#N/A
Movie,Rom-Coms,Not With My Wife You Don't,1967,COMEDY ,1.98,CLASSIC,not in prior list,No,,2001463,1000830,No,,#N/A,#N/A
Movie,Rom-Coms,Three Bites of the Apple,1967,COMEDY ,1.75,CLASSIC,not in prior list,No,,2009921,1007810,No,,2009921,No
Movie,Rom-Coms,You're a Big Boy Now,1967,COMEDY ,1.6,CLASSIC,not in prior list,No,,2001478,1000844,No,,#N/A,#N/A
Movie,Rom-Coms,Any Wednesday,1966,COMEDY ,1.81,CLASSIC,not in prior list,No,,2001464,1000831,No,,2001464,No
Movie,Rom-Coms,"Family Way, The",1966,COMEDY ,1.91,CLASSIC,not in prior list,No,,2001473,1000840,No,,#N/A,#N/A
Movie,Rom-Coms,"Glass Bottom Boat, The",1966,COMEDY ,1.83,CLASSIC,2009844,No,,2009844,1007734,No,,2009844,No
Movie,Rom-Coms,Made in Paris,1966,COMEDY ,1.68,CLASSIC,not in prior list,No,,2009827,1007717,No,,2009827,No
Movie,Comedy,"Hangover, The",2009,COMEDY ,1.66,A,not in prior list,Yes,,2047417,1028917,Yes,,2047417,No
Movie,Comedy,We're The Millers,2013,COMEDY ,1.82,A,not in prior list,Yes,,2054437,1032738,No,,2054437,No
Movie,Comedy,Horrible Bosses 2011,2011,COMEDY ,1.55,A,not in prior list,Yes,,2050818,1030888,No,,#N/A,#N/A
Movie,Comedy,Austin Powers: The Spy Who Shagged Me,1999,COMEDY ,1.58,A,not in prior list,Yes,,2017127,1013436,No,,#N/A,#N/A
Movie,Comedy,Friday,1995,COMEDY ,1.48,A,not in prior list,Yes,,2012700,1010269,No,,2012700,No
Movie,Comedy,Miss Congeniality,2000,COMEDY ,1.83,A,not in prior list,Yes,,2004597,1003688,Yes,,2004597,No
Movie,Comedy,Tammy,2014,COMEDY ,1.62,A,not in prior list,Yes,,2060911,1035405,No,,2060911,No
Movie,Comedy,"Mask, The (1994)",1994,COMEDY ,1.68,A,not in prior list,Yes,,2016956,1013270,No,,2016956,No
Movie,Comedy,Analyze This,1999,COMEDY ,1.77,B,not in prior list,Yes,,2003583,1002706,Yes,,2003583,No
Movie,Comedy,Cop Out,2010,COMEDY ,1.78,B,not in prior list,Yes,,2049086,1029786,No,,2049086,No
Movie,Comedy,Observe And Report,2009,COMEDY ,1.43,B,not in prior list,Yes,,2043643,1026905,No,,2043643,No
Movie,Comedy,"House, The",2017,COMEDY,1.46,B,not in prior list,Yes,,2027664,1021524,No,,#N/A,#N/A
Movie,Comedy,Central Intelligence,2016,COMEDY ,1.78,A,not in prior list,Yes,,2061711,1035543,Yes,,2061711,No
Movie,Comedy,Caddyshack,1980,COMEDY ,1.67,B,not in prior list,Yes,,2001961,1001311,Yes,,2001961,No
Movie,Comedy,Fist Fight,2017,COMEDY ,1.51,B,not in prior list,Yes,,2068424,1038423,Yes,,2068424,No
Movie,Comedy,War Dogs (2016),2016,COMEDY ,1.9,B,not in prior list,No,x,2058075,1034622,No,,2058075,No
Movie,Comedy,Our Brand Is Crisis,2015,COMEDY ,1.78,C,not in prior list,No,x,2046605,1028494,Yes,,2046605,No
Movie,Comedy,"Campaign, The",2012,COMEDY ,1.41,B,not in prior list,No,x,2056635,1033985,No,,2056635,No
Movie,Comedy,Arthur (2011),2011,COMEDY ,1.83,C,2051903,No,,2051903,1031375,No,,2051903,No
Movie,Comedy,"Invention Of Lying, The",2009,COMEDY,1.75,C,not in prior list,No,,2047946,1029180,No,,2047946,No
Movie,Comedy,"Kiss Kiss, Bang Bang",2005,COMEDY ,1.71,C,not in prior list,No,,2026982,1020902,No,,2026982,No
Movie,Comedy,Everything Is Illuminated,2005,COMEDY ,1.76,C,not in prior list,No,,2026954,1020874,No,,2026954,No
Movie,Comedy,Criminal,2004,COMEDY ,1.45,C,not in prior list,No,,2025612,1019782,Yes,,2025612,No
Movie,Comedy,Matchstick Men,2003,COMEDY ,1.93,C,not in prior list,No,,2024151,1018479,No,,2024151,No
Movie,Comedy,"In-Laws, The (2003)",2003,COMEDY,1.63,C,not in prior list,No,,2024139,1018467,No,,2024139,No
Movie,Comedy,About Schmidt,2002,COMEDY ,2.08,C,not in prior list,No,,2016904,1013226,No,,2016904,No
Movie,Comedy,Real Women Have Curves,2002,COMEDY ,1.5,C,not in prior list,No,,2025622,1019802,No,,2025622,No
Movie,Comedy,Eight Legged Freaks,2002,COMEDY ,1.65,C,2004680,No,,2004680,1003771,Yes,,2004680,No
Movie,Comedy,Hedwig and the Angry Inch,2001,COMEDY ,1.46,C,2016887,No,,2016887,1013209,No,,2016887,No
Movie,Comedy,Sugar and Spice,2001,COMEDY ,1.35,C,not in prior list,No,,2016845,1013170,No,,#N/A,#N/A
Movie,Comedy,Detroit Rock City,1999,COMEDY ,1.56,C,not in prior list,No,,2017130,1013439,No,,2017130,No
Movie,Comedy,Drop Dead Gorgeous,1999,COMEDY ,1.63,C,not in prior list,No,,2017128,1013437,No,,2017128,No
Movie,Comedy,Almost Heroes,1998,COMEDY ,1.53,C,not in prior list,No,,2016424,1012750,No,,#N/A,#N/A
Movie,Comedy,SubUrbia,1997,COMEDY ,2.01,C,not in prior list,No,,2015337,1011888,No,,2015337,No
Movie,Comedy,DRACULA: DEAD & LOVING IT,1995,COMEDY,1.5,C,not in prior list,No,,2015321,1011874,No,,2015321,No
Movie,Comedy,National Lampoon's Senior Trip,1995,COMEDY ,1.51,C,not in prior list,No,,2016994,1013304,No,,2016994,No
Movie,Comedy,"Hudsucker Proxy, The",1994,COMEDY ,1.91,C,not in prior list,No,,2003263,1002386,No,,2003263,No
Movie,Comedy,Hangin' With The Homeboys,1991,COMEDY ,1.46,C,not in prior list,No,,2016725,1013051,No,,2016725,No
Movie,Comedy,Nothing But Trouble,1991,COMEDY ,1.55,C,not in prior list,No,,2002488,1001826,No,,2002488,No
Movie,Comedy,Young Einstein,1989,COMEDY ,1.5,C,not in prior list,No,,2002326,1001667,No,,#N/A,#N/A
Movie,Comedy,One Crazy Summer,1986,COMEDY ,1.55,C,not in prior list,No,,2002198,1001543,No,,2002198,No
Movie,Comedy,Wise Guys (1986),1986,COMEDY ,1.51,C,not in prior list,No,,2012803,1010350,No,,2012803,No
