,request_date,total_viewing_accounts
377,2021-06-08,7288966
378,2021-06-09,6936388
379,2021-06-10,6893495
380,2021-06-11,7116780
381,2021-06-12,7557476
382,2021-06-13,7763770
383,2021-06-14,7368891
384,2021-06-15,6816626
385,2021-06-16,6526032
386,2021-06-17,6314674
387,2021-06-18,6300812
388,2021-06-19,6643142
389,2021-06-20,6837797
390,2021-06-21,6746437
391,2021-06-22,6608303
392,2021-06-23,6292079
393,2021-06-24,6139889
394,2021-06-25,6141776
395,2021-06-26,6547643
396,2021-06-27,6788648
397,2021-06-28,6570998
398,2021-06-29,6345619
399,2021-06-30,6271962
400,2021-07-01,6159789
401,2021-07-02,6289082
402,2021-07-03,6383090
403,2021-07-04,6382596
404,2021-07-05,6533963
405,2021-07-06,6422329
406,2021-07-07,6085423
407,2021-07-08,6206254
408,2021-07-09,6129220
409,2021-07-10,6283529
410,2021-07-11,6491084
411,2021-07-12,6313595
412,2021-07-13,6067238
413,2021-07-14,5918601
414,2021-07-15,5820009
415,2021-07-16,6975054
416,2021-07-17,8165361
417,2021-07-18,7975901
418,2021-07-19,7491660
419,2021-07-20,6987159
420,2021-07-21,6567361
421,2021-07-22,6581327
422,2021-07-23,6454765
423,2021-07-24,6546823
424,2021-07-25,6907927
425,2021-07-26,6728360
426,2021-07-27,6378765
427,2021-07-28,6141002
428,2021-07-29,6207779
429,2021-07-30,6043842
430,2021-07-31,6254107
431,2021-08-01,6613367
432,2021-08-02,6533199
433,2021-08-03,6250345
434,2021-08-04,6129056
435,2021-08-05,6345756
436,2021-08-06,7844746
437,2021-08-07,8593475
438,2021-08-08,8713527
439,2021-08-09,8242148
440,2021-08-10,7511311
441,2021-08-11,7451562
442,2021-08-12,7246741
443,2021-08-13,7195275
444,2021-08-14,7594243
445,2021-08-15,7888362
446,2021-08-16,7890920
447,2021-08-17,7248585
448,2021-08-18,7205687
449,2021-08-19,7043118
450,2021-08-20,7133361
451,2021-08-21,7767232
452,2021-08-22,8109236
453,2021-08-23,7430864
454,2021-08-24,6895584
455,2021-08-25,6856833
456,2021-08-26,6692071
457,2021-08-27,6641555
458,2021-08-28,7033690
459,2021-08-29,7258941
460,2021-08-30,6604190
461,2021-08-31,6344252
462,2021-09-01,6516364
463,2021-09-02,6524623
464,2021-09-03,6463692
465,2021-09-04,6686831
466,2021-09-05,7054077
467,2021-09-06,7316557
468,2021-09-07,6389021
469,2021-09-08,6530512
470,2021-09-09,6422894
471,2021-09-10,6348527
472,2021-09-11,7304461
473,2021-09-12,7360532
474,2021-09-13,6876871
475,2021-09-14,6477764
476,2021-09-15,6425013
477,2021-09-16,6458374
478,2021-09-17,6536833
479,2021-09-18,7293128
480,2021-09-19,7357933
481,2021-09-20,4219761
