,title_id,title,home_territory_observed_medal,pillar_genres,imdb_id,theatrical_release_date,offering_start_date,days_from_theatrical2,pct_actives,days_from_max_launch,cumulative_viewing_subs,cumulative_first_views,area_gross,budget,genre_Action/Adventure ,genre_Comedy,genre_Drama,genre_Horror ,genre_Kids/Family,genre_Romance,genre_Sci-Fi,genre_Suspense/Thriller,medal_Bronze,medal_Gold,medal_Platinum,medal_Silver,medal_number,log_cumulative_first_views,platform
69,GYKabNgFp3cLDwgEAAAA3,Freaky,Gold,Comedy,tt10919380,2020-11-13,2021-07-25,230,0.130203,-177,3538686,28632,3600355.0,5000000.0,0,1,0,0,0,0,0,0,0,1,0,0,1,14.805340828416384,1.0
70,GYFEzmwNES16GkQEAAAAC,Godzilla vs. Kong,Platinum,Action/Adventure ,tt5034838,2021-03-31,2021-03-31,0,0.589405,-315,15761789,2084519,31625971.0,200000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,20.99128309142531,1.0
71,GXtq3VAt1AMPCwgEAAAb8,The Way Back,Silver,Drama,tt8544498,2020-03-06,2020-08-30,75,0.040074,75,444456,14894,8170315.0,,0,0,1,0,0,0,0,0,0,0,0,1,2,13.862443642212295,1.0
72,GYHmDAQRp2grCFgEAAAAC,Fatale,Silver,Suspense/Thriller,tt8829830,2020-12-18,2021-06-20,176,0.062559,-212,1684586,14744,918112.0,,0,0,0,0,0,0,0,1,0,0,0,1,2,13.847840355630714,1.0
73,GYbD1_wnm3mDCwgEAAAPM,The Matrix: Resurrections,Platinum,Action/Adventure ,tt10838180,2021-12-22,2021-12-22,0,0.419510,-581,13223964,665624,10749011.0,190000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,19.34434792723185,1.0
74,GYaf79gQvPMPDwgEAAAAH,The Eyes of Tammy Faye,Bronze,Drama,tt9115530,2021-09-24,2022-01-01,99,0.061762,-492,1921442,10522,652358.0,,0,0,1,0,0,0,0,0,1,0,0,0,3,13.36112133473479,1.0
75,GYQBEaQwta8PCAAEAAAA-,Reminiscence,Platinum,Suspense/Thriller,tt3272066,2021-08-20,2021-08-20,0,0.247745,-457,6764970,74004,1950793.0,54000000.0,0,0,0,0,0,0,0,1,0,0,1,0,0,16.175315631699174,1.0
76,GXxmT_ww39aJrqAEAAAAM,A Hidden Life,Bronze,Drama,tt5827916,2019-12-13,2020-09-01,159,0.001514,159,17035,494,50383.0,,0,0,1,0,0,0,0,0,1,0,0,0,3,8.948367231584678,1.0
77,GYFTsgguYHcPDwgEAAAAK,The Personal History of David Copperfield,Bronze,Drama,tt6439020,2020-08-28,2021-05-16,246,0.016480,-100,449043,1705,475800.0,15600000.0,0,0,1,0,0,0,0,0,1,0,0,0,3,10.735556023911535,1.0
78,GX4cp4Aifr2NViQEAAAJS,Wendy,Bronze,Action/Adventure ,tt2420124,2020-02-28,2020-12-20,82,0.013632,82,282798,4933,26214.0,6000000.0,1,0,0,0,0,0,0,0,1,0,0,0,3,12.268249571994492,1.0
79,GXwTRLg2wGMPDwgEAAASZ,Spies in Disguise,Silver,Kids/Family,tt5814534,2019-12-25,2020-09-06,147,0.067460,147,781223,24162,13354798.0,100000000.0,0,0,0,0,1,0,0,0,0,0,0,1,2,14.56045225766691,1.0
80,GYr4Mfgw8l8J-lwEAAAAC,Wolf,Bronze,Drama,tt7146600,2021-12-03,2022-08-26,241,0.023809,-562,708595,3160,,,0,0,1,0,0,0,0,0,1,0,0,0,3,11.625708843064466,1.0
81,GYdhCXgGwFIeXwgEAAAAC,The French Dispatch,Silver,Comedy,tt8847712,2021-10-22,2022-02-25,126,0.055073,-520,1674714,4925,1348804.0,25000000.0,0,1,0,0,0,0,0,0,0,0,0,1,2,12.2659080092311,1.0
82,GY0Wn0wkehKOCiwEAAABG,Barbarian,Gold,Horror ,tt15791034,2022-09-09,2022-10-25,46,0.146908,-842,4554138,55878,10543948.0,4500000.0,0,0,0,1,0,0,0,0,0,1,0,0,1,15.769992763902437,1.0
83,GYij31wBohZA3MQEAAAKa,Fantastic Beasts: The Secrets of Dumbledore,Platinum,Action/Adventure ,tt4123432,2022-04-15,2022-05-30,45,0.283669,-695,8340433,151731,42151256.0,200000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,17.211156345633135,1.0
84,GX9KHPw1OIMPCJgEAAAAD,Wonder Woman 1984,Platinum,Action/Adventure ,tt7126948,2020-12-25,2020-12-25,0,0.642718,-219,13629947,2784313,16701957.0,200000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,21.408889970943815,1.0
85,GXzFh-gkF3ALCOAEAAAdi,Black Christmas,Bronze,Horror ,tt10481868,2019-12-13,2020-11-01,159,0.017820,159,324846,7050,4240245.0,5000000.0,0,0,0,1,0,0,0,0,1,0,0,0,3,12.783407542173519,1.0
86,GX8fj8goBwpusEQEAAAAE,Irresistible,Silver,Comedy,tt9076562,2020-05-29,2021-02-07,239,0.074159,-9,1810240,12800,,,0,1,0,0,0,0,0,0,0,0,0,1,2,13.643856189774725,1.0
87,GXtq1sAVhqMJHjQEAAAjP,Queen & Slim,Bronze,Drama,tt8722346,2019-11-27,2020-08-23,175,0.031236,175,329868,16444,11890490.0,18000000.0,0,0,1,0,0,0,0,0,1,0,0,0,3,14.005273656563938,1.0
88,GYuwmqAnwQZa8kAEAAAE-,ELVIS,Platinum,Drama,tt3704428,2022-06-24,2022-09-02,70,0.283910,-765,8583207,144986,31211579.0,85000000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,17.145554073258413,1.0
89,GYUjdLgBiJp5otAEAAAAJ,Dune,Platinum,Action/Adventure ,tt1160419,2021-10-21,2021-10-21,0,0.459499,-519,13840880,569474,41011174.0,165000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,19.119270449948193,1.0
90,GY6HeoQwl0MPCLwEAAAgW,The Menu,Platinum,Comedy,tt9764362,2022-11-18,2023-01-03,46,0.298209,-912,9173195,95856,9004957.0,35000000.0,0,1,0,0,0,0,0,0,0,0,1,0,0,16.548581118165128,1.0
91,GYf0-iQ1eoRKojgEAAAAC,West Side Story (2021),Silver,Drama,tt3581652,2021-12-10,2022-03-02,82,0.074164,-569,2229257,12974,10574618.0,100000000.0,0,0,1,0,0,0,0,0,0,0,0,1,2,13.663335723478353,2.0
