Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q3,353
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q4,327
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q1,-248
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q4,"-1,472"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q3,"-13,231"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2028,Q1,"-22,268"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q1,"4,323"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q4,"1,481"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q3,528
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q1,511
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q1,508
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q3,499
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q1,491
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q4,425
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q1,414
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q2,400
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q4,396
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q4,383
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q3,381
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2005,Q2,360
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2006,Q2,342
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q1,227
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q4,222
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q2,209
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q1,175
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q3,148
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q3,138
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q3,123
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q1,108
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q1,84
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q2,46
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q1,41
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q3,3
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q1,-6
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q2,-12
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q4,-14
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q3,-18
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q4,-32
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q4,-49
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q3,-51
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q3,-52
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q1,-62
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q2,-72
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q2,-81
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q4,-87
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q1,-92
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q2,-93
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2027,Q3,-93
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q2,-100
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q2,-103
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q2,-108
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q1,-116
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q4,-127
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q1,-128
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q1,-133
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2026,Q3,-137
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q1,-142
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q2,-151
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q2,-157
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q4,-174
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q3,-178
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q1,-185
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q4,-186
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q3,-194
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2025,Q3,-199
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q4,-205
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q1,-213
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q2,-217
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q1,-221
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q2,-223
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q3,-230
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q4,-232
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q3,-233
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q2,-235
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q4,-244
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q1,-252
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q2,-260
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2024,Q3,-266
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q2,-267
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q4,-281
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q2,-290
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2020,Q2,-293
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q1,-294
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q3,-306
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2021,Q4,-312
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q4,-327
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q1,-331
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q4,-345
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q4,-352
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q4,-362
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2023,Q3,-369
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q3,-372
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q2,-388
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2022,Q3,-414
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q3,-445
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2019,Q2,-472
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q4,-525
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q4,"-1,252"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2028,Q1,"-3,704"
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q3,379
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q3,363
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2018,Q3,346
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q2,340
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2019,Q2,337
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2020,Q3,336
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q4,335
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q3,331
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2019,Q3,326
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2019,Q1,321
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q3,312
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q1,311
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2022,Q4,299
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2021,Q4,292
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2018,Q2,289
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q3,288
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q2,285
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2017,Q4,285
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q4,283
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2018,Q4,283
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q2,278
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2023,Q1,267
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2018,Q1,267
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2017,Q3,259
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2024,Q1,257
North America,USA,AT+T,Fixed-line Broadband,Subscription,FTTP,,2025,Q4,250
