Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q4,"2,298,661"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q2,"2,280,696"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q4,"2,277,622"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q3,"2,269,039"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q4,"2,269,036"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q2,"2,256,196"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2011,Q1,"2,234,831"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q1,"2,231,257"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q2,"2,214,998"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q1,"2,209,111"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q3,"2,182,551"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2015,Q4,"2,153,561"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q1,"2,131,033"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q2,"2,101,900"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q3,"2,069,072"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q4,"2,059,855"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2016,Q4,"2,040,658"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q1,"2,017,838"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q2,"1,974,696"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q3,"1,928,798"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q3,"1,911,457"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q2,"1,908,759"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2008,Q1,"1,860,764"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2017,Q4,"1,829,695"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q4,"1,787,774"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q1,"1,757,129"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2018,Q2,"1,719,086"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2007,Q3,"1,718,979"
