Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q1,"3,986"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q4,"3,735"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q3,"2,516"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q2,"2,278"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q1,"2,053"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q4,"1,842"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q3,"1,644"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q2,"1,459"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q1,"1,287"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q2,"25,355"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q4,"22,268"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q1,"22,038"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q3,"21,941"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q2,"21,588"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q1,"21,191"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q4,"20,771"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q3,"20,376"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q2,"19,957"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q1,"19,495"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q4,"19,001"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q4,"18,678"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q3,"18,582"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q2,"18,120"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q3,"17,779"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q1,"17,591"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q4,"17,037"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q3,"16,562"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q2,"16,075"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q1,"15,560"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q4,"14,995"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q3,"14,349"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q2,"13,862"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q2,"13,578"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q1,"12,625"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q3,"12,124"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q4,"11,672"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q3,"11,167"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q1,"10,838"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q2,"10,786"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q4,"10,651"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q1,"10,403"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2019,Q4,"7,775"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q3,"17,562"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q1,"17,532"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q2,"17,439"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q4,"17,305"
