Title,imdb_id,PRODUCT ID,page_views
Private Benjamin,tt0081375,2001968,5880
Strange Brew,tt0086373,2012132,5871
Kiss Me Kate,tt0045963,2008512,5867
"Man With Two Brains, The",tt0085894,2002067,5780
Chasing Liberty,tt0360139,2026972,5759
Days of Wine and Roses,tt0055895,2000724,5734
Revolution,tt0089913,2002157,5508
Firefox,tt0083943,2002028,5334
Mrs. Miniver,tt0035093,2007693,5205
Out of the Past,tt0039689,2009590,5180
Grudge Match,tt1661382,2054937,5159
"Great Race, The",tt0059243,2001428,5120
Calamity Jane,tt0045591,2000496,5066
City Slickers II: The Legend of Curly's Gold,tt0109439,2015302,5034
Showdown in Little Tokyo,tt0102915,2002541,4957
"Rookie, The",tt0100514,2002485,4945
Going in Style (1979),tt0079219,2001940,4889
Bullet To The Head,tt1308729,2051450,4877
"Brave One, The",tt0476964,2024997,4772
One Crazy Summer,tt0091680,2002198,4762
"Water Diviner, The",tt3007512,2071074,4755
Get Carter (2000),tt0208988,2004596,4742
Key Largo,tt0040506,2007879,4667
"Getaway, The (1994)",tt0109890,2003333,4635
Love in the Time of Cholera,tt0484740,2046390,4597
"Roman Spring of Mrs. Stone, The",tt0055382,2000700,4563
Hoot,tt0453494,2040161,4500
"Two Mrs. Carrolls, The",tt0039926,2013753,4471
Arthur (2011),tt1334512,2051903,4361
SubUrbia,tt0120238,2015337,4359
"Champ, The (1979)",tt0078950,2011356,4351
Yellowstone Kelly,tt0053457,2000637,4337
Little Women (1949),tt0041594,2008083,4282
White Heat,tt0042041,2014183,4240
Ricochet,tt0102789,2002550,4198
Sweet Bird of Youth,tt0056541,2009412,4181
Defending Your Life,tt0101698,2002480,4159
Who's That Girl,tt0094321,2002233,4081
"Gauntlet, The",tt0076070,2001839,4076
"Good German, The",tt0452624,2025003,4067
Thunderbolt,tt0114126,2017095,4065
Fire Down Below,tt0119123,2003571,4061
How To Eat Fried Worms,tt0462346,2039704,4054
"Adventures Of Pinocchio, The",tt0115472,2017041,4007
Real Women Have Curves,tt0296166,2025622,3990
"Oh, God!",tt0076489,2001837,3956
Something to Talk About,tt0114496,2003382,3945
Suburban Commando,tt0103003,2016799,3873
Polyester,tt0082926,2016948,3832
Skyjacked,tt0069278,2010739,3832
Love Affair (1994),tt0110391,2003269,3806
Othello (1995),tt0114057,2015320,3806
MAR ADENTRO AKA THE SEA INSIDE,tt0369702,2035950,3795
Big Wednesday,tt0077235,2001873,3777
Torque,tt0329691,2024153,3751
"Last Mimzy, The",tt0768212,2042784,3733
"Wonderful World of the Brothers Grimm, The",tt0056700,2009571,3725
National Lampoon's Senior Trip,tt0113936,2016994,3705
Shorts,tt1100119,2048306,3651
Everything Is Illuminated,tt0404030,2026954,3602
Even Cowgirls Get The Blues,tt0106834,2016709,3600
"Astronaut Farmer, The",tt0469263,2039618,3543
"Boy with Green Hair, The",tt0040185,2003551,3506
Club Paradise,tt0090856,2002193,3499
Wise Guys (1986),tt0092226,2012803,3498
Observe And Report,tt1197628,2043643,3493
Surf Ninjas,tt0108258,2016801,3481
"Oklahoman, The",tt0050797,2001057,3475
"Good Guys and the Bad Guys, The",tt0064379,2001560,3424
"Frisco Kid, The",tt0079180,2001922,3408
"Set-Up, The",tt0041859,2011135,3377
Three to Tango,tt0144640,2003706,3369
Funny Farm,tt0095188,2002310,3300
My Giant,tt0120765,2015348,3300
Trojan War,tt0120376,2003559,3257
Sharky's Machine,tt0083064,2002006,3244
"Upside Of Anger, The",tt0365885,2034207,3205
Pure Country,tt0105191,2003084,3199
Greased Lightning,tt0076106,2001833,3163
She Wore a Yellow Ribbon,tt0041866,2011219,3155
"Science of Sleep, The",tt0354899,2041944,3135
Ride the High Country,tt0056412,2009417,3104
Forget Paris,tt0113097,2015316,3048
Laws Of Attraction,tt0323033,2026834,3047
Little Big League,tt0110363,2015308,3023
One Night Stand,tt0119832,2017088,3000
Love in the Afternoon,tt0050658,2000760,2988
If Looks Could Kill,tt0102095,2002530,2972
"Life and Times of Judge Roy Bean, The",tt0068853,2003528,2938
Tomorrow Is Another Day,tt0044136,2000375,2934
My Favorite Year,tt0084370,2012126,2929
Alaska,tt0115493,2015329,2875
Crossfire (1947),tt0039286,2004425,2855
Saddle the Wind,tt0050923,2008991,2838
Loneliness of the Long Distance Runner,tt0056194,2020325,2811
Liberty Heights,tt0165859,2003714,2800
One On One,tt0076500,2001828,2792
"In-Laws, The (1979)",tt0079336,2001934,2762
Dark Passage,tt0039302,2004542,2716
American Flyers,tt0088707,2002151,2665
"Last Challenge, The",tt0061893,2010000,2623
Full Of It,tt0446752,2044439,2608
Razorback,tt0087981,2002124,2591
Town & Country,tt0141907,2017123,2581
Our Brand Is Crisis,tt1018765,2046605,2549
"In-Laws, The (2003)",tt0314786,2024139,2532
Tall Man Riding,tt0048690,2000464,2530
Kit Kittredge: An American Girl,tt0846308,2048748,2516
"Phantom Tollbooth, The",tt0064806,2010479,2497
Nancy Drew and the Hidden Staircase,tt8323104,2078912,2490
"Nativity Story, The",tt0762121,2043270,2489
Rich and Famous,tt0082992,2011948,2485
Made in Heaven,tt0093467,2002294,2478
15 Minutes,tt0179626,2017124,2464
Robin and the Seven Hoods,tt0058529,2001368,2439
Seven Minutes in Heaven,tt0089997,2002155,2436
City Heat,tt0087062,2002123,2424
Bronco Billy,tt0080472,2001958,2407
"Bachelor, The (1999)",tt0120596,2017132,2400
Highwaymen,tt0339147,2025304,2367
Charro,tt0064155,2003474,2363
City By the Sea,tt0269095,2004649,2340
Crossing Delancey,tt0094921,2002325,2337
Getaway (2012),tt2167202,2055986,2319
Uptown Saturday Night,tt0072351,2001707,2308
McQ,tt0071824,2001695,2258
"Big Girls Don't Cry, They Get Even",tt0101444,2016676,2208
Cattle King,tt0056914,2009550,2175
KNUTE ROCKNE ALL AMERICAN,tt0032676,2007983,2175
Flashpoint,tt0087268,2018073,2174
"Gumball Rally, The",tt0074597,2001795,2160
"Sunshine Boys, The",tt0073766,2011099,2136
"Little Romance, A",tt0079477,2001919,2126
"Street Fighter, The",tt0073756,2016973,2100
Angels in the Outfield,tt0043286,2008282,2074
Feeling Minnesota,tt0116289,2017030,2074
Mr. Nanny,tt0107612,2016760,2066
Gymkata,tt0089243,2012570,2060
"Corruptor, The",tt0142192,2017126,2042
"Home at the End of the World, A",tt0359423,2026744,2018
American Wrestler: The Wizard (2016),tt4303202,2077725,1977
For the First Time,tt0052817,2009188,1969
Honeysuckle Rose,tt0080888,2001959,1953
Possessed (1947),tt0039725,2010074,1924
Twelfth Night,tt0117991,2017054,1920
Girl Happy,tt0059224,2009747,1919
Lost in America,tt0089504,2002122,1916
Avalanche Express,tt0078812,2011347,1903
Hard Ticket to Hawaii,tt0093146,2012892,1893
Lost And Found,tt0120836,2003720,1884
"Yearling, The",tt0039111,2007965,1850
"Live a Little, Love a Little",tt0063231,2010301,1834
Bed Of Roses (1996),tt0115644,2016669,1815
Speedway,tt0063634,2010017,1809
Stealing Home,tt0096171,2002314,1801
Twice Upon a Time,tt0086489,2002040,1736
"OH GOD, YOU DEVIL",tt0087835,2002114,1734
Spencer's Mountain,tt0057523,2001340,1724
"Red Badge of Courage, The",tt0043961,2008285,1722
Her Alibi,tt0097500,2002406,1710
Freebie and the Bean,tt0071521,2001700,1695
Men Don't Leave,tt0100134,2002422,1674
Bright Road,tt0045578,2008400,1661
Please Don't Eat the Daisies,tt0054188,2009201,1660
Monkey Trouble,tt0110557,2016758,1656
House of Dark Shadows,tt0065856,2010590,1640
Criminal,tt0362526,2025612,1616
Mr. Wonderful,tt0107613,2003259,1615
No Blade of Grass,tt0066154,2010594,1599
"Big Hand for a Little Lady, A",tt0060165,2001434,1585
Cast a Dark Shadow,tt0050233,2008633,1581
36 Hours,tt0057809,2009741,1559
Dark of the Sun,tt0062863,2010020,1558
Where Angels Fear To Tread,tt0103243,2016819,1544
Chaos Theory,tt0460745,2037673,1536
I Remember Mama,tt0040458,2007622,1532
Under the Rainbow,tt0083254,2001995,1524
Riding Shotgun,tt0047413,2000443,1495
"Champ, The (1931)",tt0021730,2007135,1481
Home Fries,tt0119304,2003568,1479
In the Mood,tt0093253,2002292,1475
Gentleman Jim,tt0034778,2005871,1467
"Long, Long Trailer, The",tt0047191,2008520,1449
Kissin' Cousins,tt0057227,2009635,1438
American Anthem,tt0090631,2002390,1436
Martian Child,tt0415965,2038764,1426
Sibling Rivalry,tt0100611,2015277,1420
"Main Event, The",tt0079510,2001923,1409
They Died with Their Boots On,tt0034277,2012885,1403
Alfred the Great,tt0064000,2010466,1385
"Train Robbers, The",tt0070825,2001638,1383
Hot to Trot,tt0095326,2002307,1377
Best Friends,tt0083641,2002035,1373
Alex & Emma,tt0318283,2024154,1364
Triple Cross,tt0061647,2001469,1355
Naked In New York,tt0110623,2016764,1349
"Alphabet Murders, The",tt0060094,2009814,1348
"Gun Hawk, The",tt0057121,2000754,1295
Theory Of Flight,tt0120861,2017112,1295
"Mackintosh Man, The",tt0070351,2001651,1293
Black Belt Jones,tt0071221,2001694,1284
See You in the Morning,tt0098283,2002407,1269
Beyond Rangoon,tt0112495,2015313,1250
Lionheart,tt0093424,2002212,1236
Hell to Eternity,tt0053901,2000957,1235
"Story of Seabiscuit, The",tt0041923,2012131,1208
Doberman Gang,tt0068491,2011349,1197
We Don't Live Here Anymore,tt0361309,2027316,1195
They Live by Night,tt0040872,2012761,1191
"Glass Bottom Boat, The",tt0060463,2009844,1170
Don't Make Waves,tt0061590,2009932,1166
"Human Comedy, The",tt0036022,2007979,1160
Run of the Arrow,tt0050915,2008844,1147
"Canterville Ghost, The",tt0036696,2007803,1141
Parrish,tt0055279,2000677,1140
Carried Away,tt0115837,2017025,1120
John Paul Jones,tt0052946,2000629,1111
Rainbow Brite and the Star Stealer,tt0089877,2002165,1103
Malibu Express,tt0089539,2012890,1102
Forced Vengeance,tt0083960,2011974,1100
Double Trouble,tt0061595,2009929,1095
How To Deal,tt0319524,2024499,1093
Mitchell,tt0073396,2000763,1090
Home from the Hill,tt0053917,2009199,1079
"I Love You, Alice B. Toklas",tt0063115,2001534,1071
DELTA FORCE 3: THE KILLING GAME,tt0101702,2002626,1058
Air Force,tt0035616,2000128,1054
Cleopatra Jones and the Casino of Gold,tt0072791,2001676,1040
"Naked and the Dead, The",tt0051978,2008973,1026
"Secret Garden, The (1949)",tt0041855,2008121,1013
Duma,tt0361715,2025983,1010
El Condor,tt0065570,2003488,975
Just Tell Me What You Want,tt0080975,2001929,967
Living Out Loud,tt0120722,2017110,952
Passage to Marseille,tt0037166,2009803,952
"Cheyenne Social Club, The",tt0065542,2003487,927
Having a Wild Weekend,tt0059258,2001383,912
Zeppelin,tt0068014,2010635,911
Sweet November (1968),tt0063661,2001508,904
"Gunfight at Comanche Creek, The",tt0058165,2002372,901
Outrage,tt0042824,2008171,896
Whose Life Is It Anyway,tt0083326,2011954,887
Three Of Hearts,tt0108334,2016809,875
St. Ives,tt0075263,2001793,854
Widows' Peak,tt0111712,2016823,848
All the Marbles,tt0081964,2011951,846
Across the Pacific,tt0034428,2000018,844
Hangin' With The Homeboys,tt0101998,2016725,834
"Outrage, The",tt0058437,2009731,825
"Left Handed Gun, The",tt0051849,2000596,824
Flying Leathernecks,tt0043547,2005765,818
Blume in Love,tt0069808,2001647,810
Deception,tt0038461,2004567,785
Lovesick,tt0085873,2002038,773
Dangerous When Wet,tt0045670,2008416,758
Book Of Love,tt0099166,2016680,756
"Damned Don't Cry, The",tt0042376,2000338,751
"Invisible Boy, The",tt0050546,2008974,747
So Fine,tt0083099,2002001,741
"Miracle, The (1959)",tt0053069,2000642,732
Rancho Notorious,tt0045070,2008298,730
"Distant Trumpet, A",tt0058019,2001367,719
On Moonlight Bay,tt0043880,2000368,707
Code Name: Emerald,tt0088934,2012760,705
"Stratton Story, The",tt0041928,2008090,698
Target Zero,tt0048698,2000479,697
That's Entertainment III,tt0111408,2013807,691
Wichita,tt0048806,2001237,690
My Demon Lover,tt0093589,2016761,679
Crime Wave,tt0046878,2000434,673
"Sins of Rachel Cade, The",tt0055453,2000664,658
"THIEF WHO CAME TO DINNER, THE",tt0070794,2001639,642
"MAN AND A WOMAN, A: 20 YEARS LATER",tt0092130,2002208,634
Simple Men,tt0105411,2016791,633
Guns for San Sebastian,tt0062713,2010013,631
Virginia's Run,tt0307639,2024466,628
Desperate Journey,tt0034646,2004735,627
"Miniver Story, The",tt0042735,2008213,626
Deadline at Dawn,tt0038458,2004502,622
"Half-Breed, The",tt0044681,2005947,622
"Warriors, The",tt0047975,2001222,617
Lafayette Escadrille,tt0051840,2000592,615
Funky Monkey,tt0331509,2024156,604
"Last Run, The",tt0067329,2010622,603
Something of Value,tt0050993,2008871,597
Made in Paris,tt0060646,2009827,585
April in Paris,tt0044370,2000407,577
Man on Fire (1957),tt0050682,2008873,570
Torpedo Run,tt0052303,2009094,568
Used People,tt0105706,2042180,568
Mr. Ricco,tt0073411,2011021,560
"Woman on the Beach, The",tt0040000,2014238,558
Viva Knievel!,tt0076890,2001830,554
"Four Days of Naples, The",tt0056389,2009536,548
"Super Cops, The",tt0072228,2010932,544
Return of the Gunfighter,tt0062194,2009945,543
Flesh,tt0022897,2007181,540
For Better or Worse,tt0116332,2015315,530
Any Wednesday,tt0060112,2001464,528
First to Fight,tt0061667,2001471,527
"D.I., The",tt0050283,2000541,514
Two Weeks in Another Town,tt0056625,2009422,512
Elmer the Great,tt0023982,2005632,509
Melinda,tt0068934,2010745,507
City for Conquest (1940),tt0032342,2004419,505
"Great Bank Robbery, The",tt0064391,2001555,503
Room for One More,tt0045102,2000384,495
Price Of Glory,tt0188160,2017153,489
DALLAS (1950 THEATRICAL),tt0042372,2000491,486
Sitting Target,tt0069273,2010731,482
Captains of the Clouds,tt0034578,2003975,481
Smorgasbord,tt0085375,2002069,478
"Unfaithful, The",tt0039937,2012880,468
Kid Galahad,tt0029080,2007925,462
Angel Baby,tt0054628,2000737,460
"Lusty Men, The",tt0044860,2008295,452
Which Way to the Front?,tt0066564,2001572,447
Teresa,tt0044112,2008246,445
"Five Man Army, The",tt0064300,2010478,435
Hotel Paradiso,tt0060520,2009913,434
Fit to Kill,tt0106922,2002740,426
"Unsuspected, The",tt0039941,2013786,419
"Twenty-Fifth Hour, The",tt0062445,2009919,413
How Sweet It Is!,tt0063098,2003469,412
"Woman's Secret, A",tt0042053,2014246,408
Operation Eichmann,tt0055261,2001060,403
Love and Money,tt0084274,2011635,401
Frankie Starlight,tt0113107,2017018,399
"Life of Her Own, A",tt0042677,2008202,393
"Bribe, The",tt0041207,2008078,391
"Locket, The",tt0038700,2008101,389
Malaya,tt0041622,2008134,385
Meeting Venus,tt0102428,2002539,383
"Beniker Gang, The",tt0088787,2012479,382
Andy Hardy Comes Home,tt0051360,2006827,371
More Than a Miracle,tt0061433,2009925,371
Hearts and Armour,tt0086074,2002095,369
Second Hand Hearts,tt0083041,2011636,369
Fort Dobbs,tt0051628,2000590,366
They Won't Believe Me,tt0039896,2012823,365
Mystery Street,tt0042771,2008160,361
"All American Boy, The",tt0069689,2001653,360
Julian Po,tt0119429,2017066,350
Carson City,tt0044488,2000393,344
Betrayed (1954),tt0046770,2008624,336
"Angry Hills, The",tt0052563,2009111,326
"Deadly Trackers, The",tt0069951,2001656,326
To Please a Lady,tt0043052,2008211,326
Men of the Fighting Lady,tt0047230,2008528,325
"Year Of The Yao, The",tt0360216,2036674,324
Bombardier,tt0035689,2002404,321
For Roseanna,tt0120034,2017091,320
"Company She Keeps, The",tt0042340,2004189,318
Black Eye,tt0071224,2001701,316
"Belle of New York, The",tt0044408,2008317,315
Cry Wolf (1947),tt0039288,2004507,315
Escapade in Japan,tt0050363,2008838,309
Hearts of the West,tt0073096,2011098,305
Hot Potato,tt0074646,2001778,304
Westbound,tt0053441,2000622,303
"Tall Target, The",tt0044105,2008248,301
Desperate,tt0039313,2004508,299
In the Cool of the Day,tt0057178,2009544,296
Devil's Doorway,tt0042395,2008204,293
Screaming Eagles,tt0049728,2001126,287
Street Justice,tt0098395,2012965,284
"Run of the Country, The",tt0114307,2015317,281
Adventures of Tartu,tt0035612,2007779,275
American Kickboxer,tt0101325,2002624,274
"Cool Ones, The",tt0061514,2001467,273
Easy Living (1949),tt0041328,2005573,273
Whiplash (1948),tt0040963,2014174,272
Hotel Reserve,tt0036929,2006781,268
Shadow on the Wall,tt0042952,2008151,268
Bodyguard (1949),tt0040178,2002224,264
Quiet Cool,tt0091815,2016780,257
"Hercules, Samson and Ulysses",tt0057036,2009749,255
"Goodbye, My Fancy",tt0043595,2000364,254
Gunsmoke in Tucson,tt0051691,2000953,248
"Plunderers, The",tt0054190,2001081,247
"Man with a Cloak, The",tt0043782,2008294,246
Alibi Ike,tt0026055,2000141,245
Crack-Up,tt0038429,2004320,245
Gold Raiders (1951),tt0043591,2005928,240
Prisoner of War,tt0047369,2008530,236
Summer Snow,tt0111767,2002939,232
"Crowd Roars, The (1932)",tt0022792,2004505,232
"Hoodlum Saint, The",tt0038615,2007904,232
Thoroughbreds Don't Cry,tt0029664,2007387,231
Black Samson,tt0071226,2001711,226
Shoot Out at Medicine Bend,tt0050963,2000540,226
High Wall,tt0039464,2008021,222
"Command, The",tt0046865,2000440,219
Zebra in the Kitchen,tt0059944,2009753,213
Honeymoon Hotel,tt0058204,2009665,211
"Gangster, The",tt0039410,2000929,211
"BIG LEAGUER, THE",tt0045556,2008423,210
"First Texan, The",tt0049211,2000913,206
"Falcon's Alibi, The",tt0038519,2005675,204
"Ride, Vaquero",tt0046239,2008419,203
"Hired Gun, The",tt0050510,2008969,195
Battle Zone,tt0044398,2000814,189
"Young Lovers, The",tt0058763,2009727,185
China Sky,tt0037593,2004135,182
Man Of The Century,tt0138537,2017159,182
Nobody Lives Forever,tt0038780,2009430,181
Top Secret Affair,tt0051097,2000536,180
"Falcon's Adventure, The",tt0038518,2005673,179
Two Tickets to Broadway,tt0044158,2013680,177
"Secret Fury, The",tt0042935,2008172,175
Breakthrough,tt0042282,2000353,173
"Strip, The",tt0044083,2008250,172
"Moonlighter, The",tt0046095,2000430,171
Strange Lady in Town,tt0048665,2000462,171
"Happy Years, The",tt0042542,2008158,167
White Comanche,tt0061497,2009994,163
It's a Dog's Life,tt0048217,2004298,160
Postmark for Danger,tt0048507,2008637,157
Gentle Rain,tt0060452,2000752,156
"Young Stranger, The",tt0051214,2008846,152
Tenth Avenue Angel,tt0040865,2008023,150
Desperado,tt0046905,2000887,150
Pilot No. 5,tt0036265,2007748,149
"Boy from Oklahoma, The",tt0046804,2000441,148
Guns of Darkness,tt0056044,2018130,148
Imitation General,tt0051767,2009008,145
Swing Your Lady,tt0030820,2012440,144
Young Man with Ideas,tt0045347,2008324,144
"Happy Road, The",tt0050483,2008880,143
Killer McCoy,tt0039531,2008015,142
"Sellout, The (1951)",tt0045135,2008312,142
Her Twelve Men,tt0047076,2008531,135
"See Here, Private Hargrove",tt0037256,2007793,134
Arena,tt0045515,2008414,128
Snow Job,tt0069290,2001615,126
"Hunted, The",tt0040455,2000967,123
Ringo and his Golden Pistol,tt0060563,2009861,123
Criminal Court,tt0038434,2004345,121
"Unknown Man, The",tt0044166,2008301,119
Family Tree,tt0171311,2003034,116
"Light Touch, The",tt0043743,2008304,116
Shadow of a Woman,tt0038927,2011127,116
No Questions Asked,tt0043861,2008241,109
Code Two,tt0045636,2008403,108
King of Hockey,tt0027848,2007932,108
College Coach,tt0023899,2004447,107
Her Kind of Man,tt0038597,2006764,107
Step by Step,tt0038982,2011980,107
Quantrill's Raiders,tt0052103,2001083,105
"Iron Major, The",tt0036044,2007626,103
Black Gold (1947),tt0039191,2000825,102
Violence,tt0039960,2001216,101
Glory Alley,tt0044665,2008329,97
High school Hero,tt0038601,2000960,97
Stablemates,tt0030786,2007421,96
Rogue's March,tt0045097,2008392,94
Badman's Country,tt0051394,2000602,93
"Great American Pastime, The",tt0049277,2008849,91
