SEGMENT_NAME,START_DATE,END_DATE,DAYS_ON_HBO_MAX,COHORT_SUBS
Thrilling Action Movies,2022-08-22,2022-10-22,61,1619996
Buzzy HBO Originals,2022-08-22,2022-10-22,61,1876181
Buzzy HBO Originals,2022-08-22,2022-10-23,62,1877369
Thrilling Action Movies,2022-08-22,2022-10-23,62,1621342
Buzzy HBO Originals,2022-08-22,2022-10-24,63,1878720
Thrilling Action Movies,2022-08-22,2022-10-24,63,1623022
Thrilling Action Movies,2022-08-22,2022-10-25,64,1624769
Buzzy HBO Originals,2022-08-22,2022-10-25,64,1880203
Thrilling Action Movies,2022-08-22,2022-10-26,65,1626026
Buzzy HBO Originals,2022-08-22,2022-10-26,65,1881356
Thrilling Action Movies,2022-08-22,2022-10-27,66,1627180
Buzzy HBO Originals,2022-08-22,2022-10-27,66,1882364
Thrilling Action Movies,2022-08-22,2022-10-28,67,1628292
Buzzy HBO Originals,2022-08-22,2022-10-28,67,1883241
Thrilling Action Movies,2022-08-22,2022-10-29,68,1629462
Buzzy HBO Originals,2022-08-22,2022-10-29,68,1884177
Buzzy HBO Originals,2022-08-22,2022-10-30,69,1885378
Thrilling Action Movies,2022-08-22,2022-10-30,69,1630840
Thrilling Action Movies,2022-08-22,2022-10-31,70,1632537
Buzzy HBO Originals,2022-08-22,2022-10-31,70,1886778
Buzzy HBO Originals,2022-08-22,2022-11-01,71,1888522
Thrilling Action Movies,2022-08-22,2022-11-01,71,1634082
Buzzy HBO Originals,2022-08-22,2022-11-02,72,1889960
Thrilling Action Movies,2022-08-22,2022-11-02,72,1635490
Buzzy HBO Originals,2022-08-22,2022-11-03,73,1891211
Thrilling Action Movies,2022-08-22,2022-11-03,73,1636637
Buzzy HBO Originals,2022-08-22,2022-11-04,74,1892350
Thrilling Action Movies,2022-08-22,2022-11-04,74,1637721
Buzzy HBO Originals,2022-08-22,2022-11-05,75,1893532
Thrilling Action Movies,2022-08-22,2022-11-05,75,1638994
Buzzy HBO Originals,2022-08-22,2022-11-06,76,1894899
Thrilling Action Movies,2022-08-22,2022-11-06,76,1640423
Buzzy HBO Originals,2022-08-22,2022-11-07,77,1896702
Thrilling Action Movies,2022-08-22,2022-11-07,77,1642250
Buzzy HBO Originals,2022-08-22,2022-11-08,78,1898236
Thrilling Action Movies,2022-08-22,2022-11-08,78,1643739
Thrilling Action Movies,2022-08-22,2022-11-09,79,1644979
Buzzy HBO Originals,2022-08-22,2022-11-09,79,1899592
Buzzy HBO Originals,2022-08-22,2022-11-10,80,1900819
Thrilling Action Movies,2022-08-22,2022-11-10,80,1646167
Buzzy HBO Originals,2022-08-22,2022-11-11,81,1902042
Thrilling Action Movies,2022-08-22,2022-11-11,81,1647396
Thrilling Action Movies,2022-08-22,2022-11-12,82,1648819
Buzzy HBO Originals,2022-08-22,2022-11-12,82,1903547
Thrilling Action Movies,2022-08-22,2022-11-13,83,1650436
Buzzy HBO Originals,2022-08-22,2022-11-13,83,1905194
Buzzy HBO Originals,2022-08-22,2022-11-14,84,1906847
Thrilling Action Movies,2022-08-22,2022-11-14,84,1652024
Thrilling Action Movies,2022-08-22,2022-11-15,85,1653233
Buzzy HBO Originals,2022-08-22,2022-11-15,85,1908152
Thrilling Action Movies,2022-08-22,2022-11-16,86,1654283
Buzzy HBO Originals,2022-08-22,2022-11-16,86,1909248
Buzzy HBO Originals,2022-08-22,2022-11-17,87,1910366
Thrilling Action Movies,2022-08-22,2022-11-17,87,1655311
Buzzy HBO Originals,2022-08-22,2022-11-18,88,1911706
Thrilling Action Movies,2022-08-22,2022-11-18,88,1656453
Buzzy HBO Originals,2022-08-22,2022-11-19,89,1913362
Thrilling Action Movies,2022-08-22,2022-11-19,89,1657703
Buzzy HBO Originals,2022-08-22,2022-11-20,90,1915199
Thrilling Action Movies,2022-08-22,2022-11-20,90,1659319
Thrilling Action Movies,2022-08-22,2022-11-21,91,1661013
Buzzy HBO Originals,2022-08-22,2022-11-21,91,1917080
Buzzy HBO Originals,2022-08-22,2022-11-22,92,1918504
Thrilling Action Movies,2022-08-22,2022-11-22,92,1662247
Buzzy HBO Originals,2022-08-22,2022-11-23,93,1919493
Thrilling Action Movies,2022-08-22,2022-11-23,93,1663108
Buzzy HBO Originals,2022-08-22,2022-11-24,94,1920561
Thrilling Action Movies,2022-08-22,2022-11-24,94,1664092
Buzzy HBO Originals,2022-08-22,2022-11-25,95,1921891
Thrilling Action Movies,2022-08-22,2022-11-25,95,1665407
Thrilling Action Movies,2022-08-22,2022-11-26,96,1666808
Buzzy HBO Originals,2022-08-22,2022-11-26,96,1923214
Buzzy HBO Originals,2022-08-22,2022-11-27,97,1924662
Thrilling Action Movies,2022-08-22,2022-11-27,97,1668335
Thrilling Action Movies,2022-08-22,2022-11-28,98,1669700
Buzzy HBO Originals,2022-08-22,2022-11-28,98,1926072
Thrilling Action Movies,2022-08-22,2022-11-29,99,1670681
Buzzy HBO Originals,2022-08-22,2022-11-29,99,1927181
Buzzy HBO Originals,2022-08-22,2022-11-30,100,1928177
Thrilling Action Movies,2022-08-22,2022-11-30,100,1671532
Buzzy HBO Originals,2022-08-22,2022-12-01,101,1929325
Thrilling Action Movies,2022-08-22,2022-12-01,101,1672503
Buzzy HBO Originals,2022-08-22,2022-12-02,102,1930298
Thrilling Action Movies,2022-08-22,2022-12-02,102,1673288
Buzzy HBO Originals,2022-08-22,2022-12-03,103,1931631
Thrilling Action Movies,2022-08-22,2022-12-03,103,1674294
Buzzy HBO Originals,2022-08-22,2022-12-04,104,1933434
Thrilling Action Movies,2022-08-22,2022-12-04,104,1675710
Buzzy HBO Originals,2022-08-22,2022-12-05,105,1935305
Thrilling Action Movies,2022-08-22,2022-12-05,105,1677279
Buzzy HBO Originals,2022-08-22,2022-12-06,106,1936715
Thrilling Action Movies,2022-08-22,2022-12-06,106,1678367
Thrilling Action Movies,2022-08-22,2022-12-07,107,1679543
Buzzy HBO Originals,2022-08-22,2022-12-07,107,1938199
Buzzy HBO Originals,2022-08-22,2022-12-08,108,1939555
Thrilling Action Movies,2022-08-22,2022-12-08,108,1680659
Thrilling Action Movies,2022-08-22,2022-12-09,109,1681802
Buzzy HBO Originals,2022-08-22,2022-12-09,109,1940966
Buzzy HBO Originals,2022-08-22,2022-12-10,110,1942549
Thrilling Action Movies,2022-08-22,2022-12-10,110,1683093
Thrilling Action Movies,2022-08-22,2022-12-11,111,1684711
Buzzy HBO Originals,2022-08-22,2022-12-11,111,1944586
Buzzy HBO Originals,2022-08-22,2022-12-12,112,1946959
Thrilling Action Movies,2022-08-22,2022-12-12,112,1686572
Buzzy HBO Originals,2022-08-22,2022-12-13,113,1949326
Thrilling Action Movies,2022-08-22,2022-12-13,113,1688066
Buzzy HBO Originals,2022-08-22,2022-12-14,114,1951432
Thrilling Action Movies,2022-08-22,2022-12-14,114,1689355
Buzzy HBO Originals,2022-08-22,2022-12-15,115,1953330
Thrilling Action Movies,2022-08-22,2022-12-15,115,1690611
Buzzy HBO Originals,2022-08-22,2022-12-16,116,1955114
Thrilling Action Movies,2022-08-22,2022-12-16,116,1691925
Thrilling Action Movies,2022-08-22,2022-12-17,117,1693531
Buzzy HBO Originals,2022-08-22,2022-12-17,117,1957001
Buzzy HBO Originals,2022-08-22,2022-12-18,118,1959676
Thrilling Action Movies,2022-08-22,2022-12-18,118,1696059
Buzzy HBO Originals,2022-08-22,2022-12-19,119,1962074
Thrilling Action Movies,2022-08-22,2022-12-19,119,1698386
Buzzy HBO Originals,2022-08-22,2022-12-20,120,1963994
Thrilling Action Movies,2022-08-22,2022-12-20,120,1700220
Thrilling Action Movies,2022-08-22,2022-12-21,121,1701816
Buzzy HBO Originals,2022-08-22,2022-12-21,121,1965722
Buzzy HBO Originals,2022-08-22,2022-12-22,122,1967403
Thrilling Action Movies,2022-08-22,2022-12-22,122,1703417
Thrilling Action Movies,2022-08-22,2022-12-23,123,1705278
Buzzy HBO Originals,2022-08-22,2022-12-23,123,1969325
Buzzy HBO Originals,2022-08-22,2022-12-24,124,1971607
Thrilling Action Movies,2022-08-22,2022-12-24,124,1707559
Thrilling Action Movies,2022-08-22,2022-12-25,125,1710205
Buzzy HBO Originals,2022-08-22,2022-12-25,125,1973880
Thrilling Action Movies,2022-08-22,2022-12-26,126,1713670
Buzzy HBO Originals,2022-08-22,2022-12-26,126,1976728
Thrilling Action Movies,2022-08-22,2022-12-27,127,1716254
Buzzy HBO Originals,2022-08-22,2022-12-27,127,1978968
Thrilling Action Movies,2022-08-22,2022-12-28,128,1718096
Buzzy HBO Originals,2022-08-22,2022-12-28,128,1980873
Thrilling Action Movies,2022-08-22,2022-12-29,129,1719642
Buzzy HBO Originals,2022-08-22,2022-12-29,129,1982486
Thrilling Action Movies,2022-08-22,2022-12-30,130,1721152
Buzzy HBO Originals,2022-08-22,2022-12-30,130,1984069
Thrilling Action Movies,2022-08-22,2022-12-31,131,1722834
Buzzy HBO Originals,2022-08-22,2022-12-31,131,1985747
Thrilling Action Movies,2022-08-22,2023-01-01,132,1724981
Buzzy HBO Originals,2022-08-22,2023-01-01,132,1987783
Buzzy HBO Originals,2022-08-22,2023-01-02,133,1989647
Thrilling Action Movies,2022-08-22,2023-01-02,133,1727112
Buzzy HBO Originals,2022-08-22,2023-01-03,134,1991847
Thrilling Action Movies,2022-08-22,2023-01-03,134,1729541
Buzzy HBO Originals,2022-08-22,2023-01-04,135,1993404
Thrilling Action Movies,2022-08-22,2023-01-04,135,1731218
Thrilling Action Movies,2022-08-22,2023-01-05,136,1732749
Buzzy HBO Originals,2022-08-22,2023-01-05,136,1994814
Buzzy HBO Originals,2022-08-22,2023-01-06,137,1996031
Thrilling Action Movies,2022-08-22,2023-01-06,137,1734092
Thrilling Action Movies,2022-08-22,2023-01-07,138,1735982
Buzzy HBO Originals,2022-08-22,2023-01-07,138,1997558
Buzzy HBO Originals,2022-08-22,2023-01-08,139,1999644
Thrilling Action Movies,2022-08-22,2023-01-08,139,1738478
Buzzy HBO Originals,2022-08-22,2023-01-09,140,2001743
Thrilling Action Movies,2022-08-22,2023-01-09,140,1741221
Buzzy HBO Originals,2022-08-22,2023-01-10,141,2003288
Thrilling Action Movies,2022-08-22,2023-01-10,141,1743072
Buzzy HBO Originals,2022-08-22,2023-01-11,142,2004719
Thrilling Action Movies,2022-08-22,2023-01-11,142,1744910
Buzzy HBO Originals,2022-08-22,2023-01-12,143,2006188
Thrilling Action Movies,2022-08-22,2023-01-12,143,1746785
Buzzy HBO Originals,2022-08-22,2023-01-13,144,2007759
Thrilling Action Movies,2022-08-22,2023-01-13,144,1748700
Buzzy HBO Originals,2022-08-22,2023-01-14,145,2009373
Thrilling Action Movies,2022-08-22,2023-01-14,145,1750798
Thrilling Action Movies,2022-08-22,2023-01-15,146,1754111
Buzzy HBO Originals,2022-08-22,2023-01-15,146,2011793
Thrilling Action Movies,2022-08-22,2023-01-16,147,1760426
Buzzy HBO Originals,2022-08-22,2023-01-16,147,2014991
Buzzy HBO Originals,2022-08-22,2023-01-17,148,2020038
Thrilling Action Movies,2022-08-22,2023-01-17,148,1773318
Buzzy HBO Originals,2022-08-22,2023-01-18,149,2022618
Thrilling Action Movies,2022-08-22,2023-01-18,149,1778817
Buzzy HBO Originals,2022-08-22,2023-01-19,150,2024761
Thrilling Action Movies,2022-08-22,2023-01-19,150,1783039
Buzzy HBO Originals,2022-08-22,2023-01-20,151,2026653
Thrilling Action Movies,2022-08-22,2023-01-20,151,1786591
Buzzy HBO Originals,2022-08-22,2023-01-21,152,2028452
Thrilling Action Movies,2022-08-22,2023-01-21,152,1789927
Buzzy HBO Originals,2022-08-22,2023-01-22,153,2030743
Thrilling Action Movies,2022-08-22,2023-01-22,153,1793873
Buzzy HBO Originals,2022-08-22,2023-01-23,154,2033040
Thrilling Action Movies,2022-08-22,2023-01-23,154,1797998
Thrilling Action Movies,2022-08-22,2023-01-24,155,1802859
Buzzy HBO Originals,2022-08-22,2023-01-24,155,2035405
Buzzy HBO Originals,2022-08-22,2023-01-25,156,2037117
Thrilling Action Movies,2022-08-22,2023-01-25,156,1805949
Thrilling Action Movies,2022-08-22,2023-01-26,157,1808617
Buzzy HBO Originals,2022-08-22,2023-01-26,157,2038630
Buzzy HBO Originals,2022-08-22,2023-01-27,158,2040088
Thrilling Action Movies,2022-08-22,2023-01-27,158,1811055
Thrilling Action Movies,2022-08-22,2023-01-28,159,1813226
Buzzy HBO Originals,2022-08-22,2023-01-28,159,2041495
Thrilling Action Movies,2022-08-22,2023-01-29,160,1816098
Buzzy HBO Originals,2022-08-22,2023-01-29,160,2043240
Buzzy HBO Originals,2022-08-22,2023-01-30,161,2045041
Thrilling Action Movies,2022-08-22,2023-01-30,161,1819231
Buzzy HBO Originals,2022-08-22,2023-01-31,162,2046941
