,date_month,sub_month,is_cancel,subscriber_count
316,2023-04-01,16,False,316612
317,2022-04-01,16,True,24345
318,2022-05-01,16,False,435042
319,2023-05-01,16,True,43499
320,2023-03-01,16,True,7599
321,2022-01-01,16,False,109260
322,2022-08-01,16,True,35008
323,2022-04-01,16,False,778900
324,2022-06-01,16,False,329139
325,2024-03-01,16,False,1
326,2022-08-01,16,False,672901
327,2022-01-01,16,True,3371
328,2023-07-01,15,False,1
329,2022-10-01,15,False,221217
330,2022-02-01,15,False,232347
331,2022-08-01,15,True,17860
332,2022-04-01,15,True,16631
333,2022-12-01,15,False,136191
334,2023-03-01,15,False,332668
335,2022-07-01,15,False,708757
336,2023-01-01,15,True,12836
337,2022-05-01,15,True,13844
338,2022-12-01,15,True,6265
339,2022-03-01,15,False,806037
340,2023-02-01,15,True,9500
341,2023-04-01,15,True,9528
342,2022-06-01,15,True,24598
343,2022-09-01,15,True,15113
344,2023-05-01,15,False,156050
345,2022-01-01,15,False,173399
346,2022-05-01,15,False,343088
347,2022-10-01,15,True,10606
348,2022-03-01,15,True,25747
349,2023-01-01,15,False,257748
350,2022-11-01,15,True,11693
351,2022-04-01,15,False,447176
352,2022-07-01,15,True,35814
353,2023-02-01,15,False,195595
354,2022-11-01,15,False,245726
355,2023-06-01,15,True,14
356,2022-01-01,15,True,6444
357,2022-02-01,15,True,7769
358,2022-09-01,15,False,370414
359,2022-06-01,15,False,563771
360,2023-04-01,15,False,210125
361,2022-08-01,15,False,382181
362,2023-05-01,15,True,40720
363,2023-03-01,15,True,13912
364,2022-04-01,14,False,357106
365,2023-02-01,14,False,341703
366,2022-10-01,14,True,12146
367,2024-03-01,14,False,1
368,2023-04-01,14,True,10094
369,2023-03-01,14,True,9787
370,2023-01-01,14,True,10960
371,2023-01-01,14,False,208199
372,2022-05-01,14,True,25332
373,2022-06-01,14,True,38056
374,2023-10-01,14,False,1
375,2022-10-01,14,False,258377
376,2023-06-01,14,True,13
377,2023-05-01,14,True,43533
378,2022-03-01,14,True,17446
379,2022-09-01,14,True,12321
380,2022-03-01,14,False,466498
381,2022-06-01,14,False,745586
382,2022-09-01,14,False,230503
383,2022-01-01,14,False,244636
384,2022-02-01,14,True,28477
385,2022-05-01,14,False,591269
386,2022-08-01,14,True,17854
387,2023-03-01,14,False,221165
388,2022-01-01,14,True,8212
389,2022-12-01,14,True,12490
390,2022-07-01,14,True,18754
391,2022-04-01,14,True,16302
392,2022-02-01,14,False,821126
393,2022-08-01,14,False,385831
394,2023-04-01,14,False,196980
395,2023-02-01,14,True,17621
396,2023-05-01,14,False,115149
397,2022-07-01,14,False,400509
398,2023-06-01,14,False,1
399,2022-12-01,14,False,271016
400,2022-11-01,14,False,142349
401,2023-11-01,14,False,1
402,2022-11-01,14,True,6711
403,2022-11-01,13,True,13363
404,2022-12-01,13,False,219471
405,2023-10-01,13,False,2
406,2022-06-01,13,False,415722
407,2022-07-01,13,True,19023
408,2022-06-01,13,True,19156
409,2022-10-01,13,True,7260
410,2023-01-01,13,False,367311
411,2022-11-01,13,False,281801
412,2024-04-01,13,False,1
413,2023-03-01,13,False,207287
414,2022-01-01,13,True,31671
415,2022-09-01,13,True,14503
416,2022-01-01,13,False,861325
417,2023-01-01,13,True,21022
418,2022-08-01,13,True,14747
419,2022-05-01,13,True,39291
420,2023-03-01,13,True,9990
421,2023-09-01,13,False,2
422,2023-04-01,13,False,158228
423,2022-02-01,13,True,19320
424,2023-02-01,13,False,226719
425,2023-06-01,13,True,21
426,2022-12-01,13,True,10754
427,2022-07-01,13,False,404141
428,2022-03-01,13,True,16514
429,2023-08-01,13,False,2
430,2023-11-01,13,False,1
431,2023-05-01,13,True,52892
432,2023-02-01,13,True,13009
433,2022-05-01,13,False,784272
434,2022-03-01,13,False,373323
435,2022-08-01,13,False,244521
436,2022-04-01,13,False,614179
437,2023-04-01,13,True,8145
438,2022-10-01,13,False,149210
439,2022-09-01,13,False,270002
440,2022-04-01,13,True,28617
441,2022-02-01,13,False,473654
442,2023-05-01,13,False,125020
443,2022-12-01,12,True,19991
444,2024-02-01,12,False,5
445,2022-11-01,12,False,230692
446,2024-04-01,12,False,12
447,2023-07-01,12,True,11
448,2022-04-01,12,True,46502
449,2022-08-01,12,False,285375
450,2023-02-01,12,True,13485
451,2022-12-01,12,False,389179
452,2023-02-01,12,False,217908
453,2022-08-01,12,True,17397
454,2022-09-01,12,True,8459
455,2023-10-01,12,False,1
456,2022-07-01,12,True,16051
457,2022-03-01,12,False,645601
458,2022-01-01,12,True,21831
459,2023-04-01,12,False,178227
460,2023-03-01,12,True,8458
461,2022-10-01,12,True,13655
462,2023-07-01,12,False,11
463,2023-03-01,12,False,167366
464,2023-04-01,12,True,9979
465,2022-04-01,12,False,823846
466,2022-10-01,12,False,297703
467,2022-05-01,12,True,20147
468,2023-08-01,12,False,7
469,2023-11-01,12,False,10
470,2022-05-01,12,False,439499
471,2022-11-01,12,True,11868
472,2022-02-01,12,False,389924
473,2022-02-01,12,True,19418
474,2023-12-01,12,False,11
475,2023-06-01,12,True,31
476,2023-05-01,12,False,118313
477,2022-01-01,12,False,504156
478,2022-09-01,12,False,156401
479,2023-01-01,12,True,13440
480,2022-06-01,12,True,19573
481,2024-03-01,12,False,6
482,2022-06-01,12,False,423713
483,2022-07-01,12,False,259688
484,2022-03-01,12,True,31802
485,2023-05-01,12,True,44904
486,2023-01-01,12,False,245521
487,2024-01-01,12,False,11
488,2023-06-01,11,False,1
489,2023-05-01,11,True,39135
490,2022-09-01,11,False,309505
491,2022-08-01,11,False,164776
492,2022-05-01,11,False,443329
493,2023-06-01,11,True,17
494,2022-09-01,11,True,16158
495,2022-02-01,11,False,662966
496,2023-01-01,11,True,15216
497,2022-12-01,11,True,14758
498,2022-07-01,11,True,18792
499,2022-04-01,11,True,23186
500,2023-02-01,11,True,10525
501,2022-02-01,11,True,35268
502,2022-06-01,11,False,274379
503,2022-11-01,11,True,22631
504,2023-01-01,11,False,232298
505,2022-03-01,11,False,870759
506,2022-03-01,11,True,48890
507,2022-06-01,11,True,16902
508,2022-10-01,11,False,242683
509,2022-05-01,11,True,20679
510,2023-05-01,11,False,111914
511,2022-08-01,11,True,10267
512,2022-01-01,11,False,409932
513,2022-11-01,11,False,406958
514,2022-01-01,11,True,22482
515,2022-04-01,11,False,455187
516,2022-12-01,11,False,259059
517,2023-03-01,11,False,188454
518,2023-03-01,11,True,10100
519,2022-10-01,11,True,12428
520,2023-02-01,11,False,172072
521,2022-07-01,11,False,303155
522,2023-04-01,11,True,9414
523,2023-04-01,11,False,161597
524,2022-05-01,10,False,293209
525,2022-12-01,10,True,16678
526,2022-05-01,10,True,18143
527,2022-11-01,10,False,271699
528,2022-06-01,10,False,321808
529,2022-07-01,10,True,11179
530,2022-04-01,10,True,24825
531,2023-02-01,10,True,13077
532,2022-08-01,10,True,20400
533,2023-06-01,10,False,1
534,2022-10-01,10,False,432830
535,2023-02-01,10,False,196549
536,2022-03-01,10,False,483093
537,2022-04-01,10,False,464078
538,2022-11-01,10,True,15956
539,2023-06-01,10,True,48
540,2022-06-01,10,True,20119
541,2022-12-01,10,False,247946
542,2023-04-01,10,True,9495
543,2023-01-01,10,True,12398
544,2023-03-01,10,False,173102
545,2022-02-01,10,True,59973
546,2023-01-01,10,False,187757
547,2022-09-01,10,True,15203
548,2022-07-01,10,False,175135
549,2023-05-01,10,False,118861
550,2022-01-01,10,True,42845
551,2022-03-01,10,True,26410
552,2022-02-01,10,False,914409
553,2022-10-01,10,True,24165
554,2023-03-01,10,True,9894
555,2023-05-01,10,True,55254
556,2022-01-01,10,False,713999
557,2022-09-01,10,False,255249
558,2022-08-01,10,False,327916
559,2023-04-01,10,False,151258
560,2022-01-01,9,False,980269
561,2022-05-01,9,True,21837
562,2022-12-01,9,False,200568
563,2022-02-01,9,False,492489
564,2023-06-01,9,True,21
565,2022-10-01,9,True,17428
566,2022-02-01,9,True,29145
567,2022-07-01,9,True,22763
568,2023-04-01,9,True,11392
569,2023-02-01,9,False,179356
570,2023-04-01,9,False,172698
571,2023-05-01,9,True,103378
572,2022-05-01,9,False,342794
573,2023-02-01,9,True,12599
574,2023-03-01,9,True,9813
575,2022-11-01,9,True,18702
576,2023-06-01,9,False,1
577,2022-09-01,9,True,29001
578,2022-06-01,9,False,186456
579,2022-03-01,9,True,25698
580,2022-06-01,9,True,12132
581,2022-01-01,9,True,68878
582,2022-04-01,9,True,21268
583,2022-11-01,9,False,264777
584,2023-03-01,9,False,161084
585,2023-01-01,9,True,16478
586,2022-04-01,9,False,309414
587,2022-08-01,9,False,270711
588,2023-01-01,9,False,213606
589,2022-10-01,9,False,290205
590,2022-08-01,9,True,18479
591,2023-05-01,9,False,215451
592,2022-12-01,9,True,13492
593,2022-03-01,9,False,488874
594,2022-07-01,9,False,348913
595,2022-09-01,9,False,454633
596,2022-02-01,8,True,31462
597,2023-03-01,8,True,12356
598,2022-11-01,8,False,213257
599,2022-11-01,8,True,15418
600,2022-10-01,8,False,284018
601,2022-03-01,8,True,24175
602,2022-05-01,8,True,13366
603,2023-01-01,8,True,15786
604,2023-06-01,8,True,34
605,2022-05-01,8,False,198498
606,2022-12-01,8,False,230695
607,2023-02-01,8,True,12968
608,2022-01-01,8,False,539640
609,2022-10-01,8,True,20774
610,2022-01-01,8,True,35472
611,2022-02-01,8,False,511411
612,2022-03-01,8,False,332428
