,title_name,title_id,season_number,match_id,offering_start_date,ahvr,ahvr_90
1915,Your Highness,GXWVCLAy0HYWtLQEAAAjX,0,GXWVCLAy0HYWtLQEAAAjX,2020-05-27,0.016729847520694834,0.0350497832883769
1881,The SpongeBob SquarePants Movie,GXTotiA6F_FzCNQEAAFbV,0,GXTotiA6F_FzCNQEAAFbV,2020-05-27,0.043856607370711405,0.07042041410090122
1876,How to Lose a Guy in 10 Days,GXToZjggQXp5llQEAAGOK,0,GXToZjggQXp5llQEAAGOK,2020-05-27,0.019252061978143786,0.03153349937641997
1842,Along Came Polly,GXSycmQpKEr29bAEAABJ1,0,GXSycmQpKEr29bAEAABJ1,2020-05-27,0.024974847097517135,0.0359217985701374
1814,Fight Club,GXSycSQud4r29bAEAAA10,0,GXSycSQud4r29bAEAAA10,2020-05-27,0.027871604214579748,0.04290138699012512
1761,Mr. & Mrs. Smith,GXSyb6QQrn5VLqQEAAAfi,0,GXSyb6QQrn5VLqQEAAAfi,2020-05-27,0.027040789407716374,0.0491532910507099
1663,Euphoria,GXKN_xQX5csPDwwEAAABj,1,GXKN_xQX5csPDwwEAAABj S1,2020-05-27,0.06260407407983577,0.129643999219225
1571,Justice League Dark: Apokolips War,GX9jvZQ7mx1y8eAEAAABk,0,GX9jvZQ7mx1y8eAEAAABk,2021-01-01,0.04955058698558576,0.07266145065926674
1570,Justice League vs the Fatal Five,GX9j09ALOCAlRwgEAAACg,0,GX9j09ALOCAlRwgEAAACg,2021-01-01,0.016535702642622486,0.023179124380032542
1376,G.I. Joe: The Rise of Cobra,GX5brVAMA-pc2vAEAAAAr,0,GX5brVAMA-pc2vAEAAAAr,2020-11-01,0.024421633675229936,0.03933810186416356
1318,Reno 911!,GX3tk8wmzrYVepgEAAACw,3,GX3tk8wmzrYVepgEAAACw S3,2020-11-01,0.017369632948125314,0.02461301660012662
1298,Ice Age: Continental Drift,GX3YZhwdgdcLCSgEAAASB,0,GX3YZhwdgdcLCSgEAAASB,2020-11-01,0.02374280865892134,0.039745909680723564
1280,Titans,GX3Uw2AN9CaHCwwEAAALT,2,GX3Uw2AN9CaHCwwEAAALT S2,2020-11-01,0.061450069859879615,0.09408836147842577
1279,Titans,GX3Uw2AN9CaHCwwEAAALT,1,GX3Uw2AN9CaHCwwEAAALT S1,2020-11-01,0.09327065438733985,0.1323458319832955
1158,Friday After Next,GX07YUgXYUXOVpQEAAAEz,0,GX07YUgXYUXOVpQEAAAEz,2020-10-01,0.04008538759720871,0.06871745484930425
