lfm.fact.date_str,lfm.brand_view.id,lfm.brand.name,lfm.brand.title_category,lfm.brand_view.name,lfm.brand_view.set_ids,lfm.brand_view.set_names,lfm.brand_view.type,lfm.brand.broadcast_dayparts,lfm.brand.genres,lfm.brand.primary_genre,lfm.brand.programmers,lfm.brand.programmer_types,facebook.page_insight.fbpai_impressions_organic_unique,facebook.page_insight.fbpai_impressions_organic_unique_authorized,facebook.page_insight.fbpai_impressions_unique,facebook.page_insight.fbpai_impressions_unique_authorized,facebook.page_insight.fbpai_impressions_paid_unique,facebook.page_insight.fbpai_impressions_paid_unique_authorized,facebook.page_insight.fbpai_impressions_viral_unique,facebook.page_insight.fbpai_impressions_viral_unique_authorized,lfm.post_engagement_score.post_engagement_rate_fb,lfm.post_engagement_score.post_engagement_fb,lfm.audience_ratings.facebook_fan_acquisition_score,facebook.post_insight.fbpoi_video_views_organic,facebook.post_insight.fbpoi_video_views_organic_authorized,facebook.post_insight.fbpoi_video_views_organic_unique,facebook.post_insight.fbpoi_video_views_organic_unique_authorized,facebook.page_insight.fbpai_fan_removes_unique,facebook.page_insight.fbpai_fan_removes_unique_authorized,facebook.page_insight.fbpai_impressions,facebook.page_insight.fbpai_impressions_authorized,facebook.page_insight.fbpai_fan_adds_unique,facebook.page_insight.fbpai_fan_adds_unique_authorized,facebook.page_insight.fbpai_impressions_organic,facebook.page_insight.fbpai_impressions_organic_authorized,facebook.page_insight.fbpai_video_views_organic,facebook.page_insight.fbpai_video_views_organic_authorized,facebook.page_insight.fbpai_impressions_paid,facebook.page_insight.fbpai_impressions_paid_authorized,facebook.page_insight.fbpai_video_views_paid,facebook.page_insight.fbpai_video_views_paid_authorized,facebook.page.talking_about,facebook.page_insight.fbpai_video_views,facebook.page_insight.fbpai_video_views_authorized,facebook.page_insight.fbpai_impressions_viral,facebook.page_insight.fbpai_impressions_viral_authorized,facebook.post_insight.fbpoi_video_complete_views_paid,facebook.post_insight.fbpoi_video_complete_views_paid_authorized,facebook.post_insight.fbpoi_video_views_paid,facebook.post_insight.fbpoi_video_views_paid_authorized,facebook.post_insight.fbpoi_video_views_paid_unique,facebook.post_insight.fbpoi_video_views_paid_unique_authorized,facebook.page.total_post_angry_count_c,facebook.page.total_post_comments_c,facebook.page.total_post_haha_count_c,facebook.post.interactions_views,facebook.post.interactions_views_authorized,facebook.page.total_post_likes_c,facebook.page.total_post_love_count_c,facebook.page.total_post_reactions_count_c,facebook.page.total_post_sad_count_c,facebook.post.other,facebook.page.total_post_wow_count_c,facebook.post_video.views_c,facebook.page.likes,lfm.audience_ratings.facebook_audience_footprint,lfm.engagement_score.facebook,lfm.social_engagement_score.facebook_score,lfm.audience_ratings.private_facebook_audience_footprint,lfm.audience_ratings.private_facebook_audience_footprint_authorized
2022-01-29,61144,50 to 1,Movies,50 to 1 (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Drama""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,-1,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,6,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,2,59543,59543,-1,-1,,unauthorized
2022-01-29,61207,"10,000 KM",Movies,"10,000 KM (Standard View)",[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Comedy"", ""Drama"", ""Romance""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,1,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,6,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,,11379,11379,1,1,,unauthorized
2022-01-29,61209,10 Rules for Sleeping Around,Movies,10 Rules for Sleeping Around (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Comedy"", ""Romance""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,1,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,3,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,,17408,17408,1,1,,unauthorized
2022-01-29,61213,"20,000 Days on Earth",Movies,"20,000 Days on Earth (Standard View)",[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Documentary"", ""Drama"", ""Music""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,-2,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,9,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,1,35562,35562,-2,-2,,unauthorized
2022-01-29,61215,200 Cartas,Movies,200 Cartas (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Comedy"", ""Romance""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,4,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,,19656,19656,0,0,,unauthorized
2022-01-29,61217,52 Tuesdays,Movies,52 Tuesdays (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Drama""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,0,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,1,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,,3403,3403,0,0,,unauthorized
2022-01-29,64325,30 Years of Garbage: The Garbage Pail Kids Story,Movies,30 Years of Garbage: The Garbage Pail Kids Story (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Documentary""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,2,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,18,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,,9405,9405,2,2,,unauthorized
2022-01-29,64890,10 Years,Talent,10 Years (Standard View),[2069],"[""Talent Universe""]",STANDARD,,,,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,52,-2,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,3240,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,5,0,,unauthorized,34,13,47,0,90,0,50,436612,436612,50,50,,unauthorized
2022-01-29,64892,21 Savage,Talent,21 Savage (Standard View),[2069],"[""Talent Universe""]",STANDARD,,,,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,-29,-438,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,3543,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,-1,0,0,,unauthorized,-34,14,-18,0,33,3,237,5603672,5603672,-467,-467,,unauthorized
2022-01-29,64895,2CELLOS,Talent,2CELLOS (Standard View),[2069],"[""Talent Universe""]",STANDARD,,,,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,99,434,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,15389,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,21,-1,,unauthorized,34,28,62,0,394,1,2465,2029376,2029376,533,533,,unauthorized
