,expiration_month,level,title_viewed_lower_bound,title_viewed_upper_bound,title_viewed_bin,churn,vol_churn,invol_churn,user_dist,user_id,is_cancel
149,2024-02,monthly_library_titles_viewed,12.0,13.0,12.5,0.010354309631576386,0.006923151798316056,0.00343115783326033,0.012451514193389947,82188,851
150,2024-02,monthly_library_titles_viewed,13.0,14.0,13.5,0.010286366434910576,0.0069676993077350475,0.0033186671271755288,0.010088865584761969,66593,685
151,2024-02,monthly_library_titles_viewed,14.0,15.0,14.5,0.010320889184298954,0.006868284036778553,0.003452605147520402,0.008205564215486278,54162,559
152,2024-02,monthly_library_titles_viewed,15.0,16.0,15.5,0.010975857630027779,0.007317238420018519,0.0036586192100092597,0.00670828584427305,44279,486
153,2024-02,monthly_library_titles_viewed,16.0,19.0,17.5,0.009764320821428963,0.006436570227578733,0.0033277505938502294,0.013840015283359515,91353,892
154,2024-02,monthly_library_titles_viewed,19.0,191.0,105.0,0.01007911321682385,0.006376733860754779,0.0037023793560690714,0.020337109581596822,134238,1353
155,2023-10,monthly_new_titles_viewed,-0.011,0.0,-0.0055,0.05274077521746208,0.03451914017421341,0.018221635043248672,0.47233426724746425,3446233,181757
156,2023-10,monthly_new_titles_viewed,0.0,0.5,0.25,0.04361350773994542,0.02633169975318477,0.017281807986760652,0.2890371035559185,2108865,91975
157,2023-10,monthly_new_titles_viewed,0.5,1.0,0.75,0.03733319084994973,0.02083383311561,0.01649935773433973,0.12569135549673022,917066,34237
158,2023-10,monthly_new_titles_viewed,1.0,1.5,1.25,0.03362601689612015,0.017363012359198998,0.01626300453692115,0.05606883827057853,409088,13756
159,2023-10,monthly_new_titles_viewed,1.5,2.0,1.75,0.03130945037400279,0.014970478920549677,0.016338971453453113,0.026440295968818726,192913,6040
160,2023-10,monthly_new_titles_viewed,2.0,2.5,2.25,0.029193792736355074,0.013255947262826025,0.015937845473529052,0.013389483310019745,97692,2852
161,2023-10,monthly_new_titles_viewed,2.5,3.0,2.75,0.029272136692998135,0.012108631724615118,0.017163504968383016,0.0071309976982456835,52029,1523
162,2023-10,monthly_new_titles_viewed,3.0,3.5,3.25,0.028269778426060984,0.011009238035701882,0.017260540390359104,0.003946451934945631,28794,814
163,2023-10,monthly_new_titles_viewed,3.5,4.0,3.75,0.029184395038053576,0.010427278719961647,0.01875711631809193,0.0022870890962852584,16687,487
164,2023-10,monthly_new_titles_viewed,4.0,4.5,4.25,0.02972615290644406,0.012216227221826326,0.017509925684617733,0.0013463220586570441,9823,292
165,2023-10,monthly_new_titles_viewed,4.5,5.0,4.75,0.026954177897574125,0.009602425876010783,0.017351752021563343,0.000813577088485006,5936,160
166,2023-10,monthly_new_titles_viewed,5.0,5.5,5.25,0.029055078322385044,0.011622031328954016,0.017433046993431026,0.0005424760977465724,3958,115
