,expiration_month,content_pillar,pillar_rank,percent_viewing_subs,absolute churn reduction,number of users impacted,ckg_series_id
83,2022-02-01,Experimentation - Comedy Series (OP),6.0,0.0001129538584093724,8.901317567408529e-07,3.6762486059985062,2
84,2022-02-01,Experimentation - Docu-Movies (OP),6.0,0.008787317852318984,0.00010338494303963053,426.9803316783893,3
85,2022-02-01,Experimentation - Docu-Series (OP),6.0,0.0006576263224862924,5.181400647431833e-06,21.399210580896707,2
86,2022-02-01,Experimentation - Kids Series (Acq),6.0,1.404356653321243e-05,5.533720547762355e-08,0.22854293530861267,1
87,2022-02-01,Experimentation - Kids Series (OP),6.0,0.00031578654263130434,6.219865344818387e-06,25.688074973426662,5
88,2022-02-01,Experimentation - Specials,6.0,0.00021002799431639105,9.92663686227857e-06,40.99705987439481,12
89,2022-02-01,Experimentation - Unscripted Series (OP),6.0,0.000988376527389192,3.89391072774109e-06,16.08187077512434,1
90,2022-02-01,Flagship Anchor - Comedy Series (OP),1.0,0.03915394775551119,0.00015319911204235426,632.7130987304832,1
91,2022-02-01,Flagship Anchor - Drama Series (OP),1.0,0.07304236516259262,0.005420213453210802,22385.508662827877,12
92,2022-02-01,Library Supporter - Adult Animation Series (Acq),5.0,0.002138121288691715,0.0002599476573618281,1073.5851246426369,31
93,2022-02-01,Library Supporter - Adult Animation Series (OP),5.0,0.001560530798388864,6.147395345629247e-06,25.38877351442552,1
94,2022-02-01,Library Supporter - Comedy Series (Acq),5.0,0.004746118355138416,0.0013114503827638888,5416.296638066774,67
95,2022-02-01,Library Supporter - Docu-Movies (Acq),5.0,0.0001598187623457355,9.592859901147444e-05,396.18559356038446,153
96,2022-02-01,Library Supporter - Docu-Series (Acq),5.0,0.0006090644017114371,9.795698302117462e-05,404.56282966236625,41
97,2022-02-01,Library Supporter - Drama Series (Acq),5.0,0.0021762650425959235,0.0005759761324418064,2378.784306865323,69
98,2022-02-01,Library Supporter - Kids Series (Acq),5.0,0.0037552730072472787,0.000770557036826644,3182.404414879224,54
99,2022-02-01,Library Supporter - Kids Series (OP),5.0,0.0005946724035443056,2.3429992997356375e-06,9.676598822904682,1
100,2022-02-01,Library Supporter - Movies (Acq),5.0,0.0020845519118788966,0.007910456086848108,32670.223190963123,1711
101,2022-02-01,Library Supporter - Specials,5.0,0.0004062464815417899,8.000950581968369e-06,33.043965908282274,5
102,2022-02-01,Library Supporter - Unscripted Series (Acq),5.0,0.0008567903397445702,0.0001308469628425249,540.398610774442,31
103,2022-02-01,New Supporter - Adult Animation Series (Acq),4.0,0.0023055662160215303,9.081092653386025e-06,37.50495806394755,1
104,2022-02-01,New Supporter - Comedy Series (Acq),4.0,0.0007616732390673342,2.106953063085032e-05,87.01726685306497,7
105,2022-02-01,New Supporter - Comedy Series (OP),4.0,0.001324230842335542,0.0002345135597096315,968.5421741685766,25
106,2022-02-01,New Supporter - Docu-Movies (Acq),4.0,0.0006661008884977138,1.8357525964421417e-05,75.81667402069027,7
107,2022-02-01,New Supporter - Docu-Movies (OP),4.0,0.0004944957693755819,0.00019312556907340184,797.609565900995,100
108,2022-02-01,New Supporter - Docu-Series (Acq),4.0,0.0009310824078905474,5.854419090538243e-05,241.78780116018396,16
109,2022-02-01,New Supporter - Docu-Series (OP),4.0,0.0008104527507941222,0.0001438646142818481,594.161576307104,23
110,2022-02-01,New Supporter - Drama Series (Acq),4.0,0.002202312709064517,0.00021471389743906583,886.769469992829,16
111,2022-02-01,New Supporter - Drama Series (OP),4.0,0.001355044051926673,0.0005420919901556465,2238.8426298027707,62
112,2022-02-01,New Supporter - Kids Series (Acq),4.0,0.003125598356928203,0.0003896492590399342,1609.2533880812234,19
113,2022-02-01,New Supporter - Kids Series (OP),4.0,0.0028971985371553897,0.00017125448385586772,707.281874597153,9
114,2022-02-01,New Supporter - Movies (Acq),4.0,0.0008145185096002013,9.26814488578162e-05,382.77484719002524,29
115,2022-02-01,New Supporter - Movies (OP),4.0,0.00042940905361168774,4.3904810325352817e-05,181.32708616775875,26
116,2022-02-01,New Supporter - Specials,4.0,0.0007369105956153672,7.812022458507373e-05,322.63691813747744,27
117,2022-02-01,New Supporter - Unscripted Series (Acq),4.0,0.003158737095959932,0.00022241386590435286,918.5703782543069,15
118,2022-02-01,New Supporter - Unscripted Series (OP),4.0,0.0008486596868526793,0.00015974464921641313,659.7461999870322,32
119,2022-02-01,Segment Anchor - Adult Animation Series (Acq),3.0,0.01858067076381136,0.0024208381622194755,9998.073714157244,19
120,2022-02-01,Segment Anchor - Adult Animation Series (OP),3.0,0.0023469220981572657,4.870810691676858e-05,201.1647251067888,5
121,2022-02-01,Segment Anchor - Comedy Series (Acq),3.0,0.0031113279523874667,9.0403244798129e-05,373.3658530324968,5
122,2022-02-01,Segment Anchor - Comedy Series (OP),3.0,0.006087986102553934,0.001856310216617002,7666.570476179302,46
