,entertainment_segment_lifetime,medal,content_sub_pillar,percent_viewing_subs
178,Fantasy Footballers,Bronze,Experimentation,0.003706542087416479
180,Fantasy Footballers,Bronze,News & Sports,0.002315322218932831
181,Fantasy Footballers,Bronze,Supporter: Broad Library,0.004329330294128306
182,Fantasy Footballers,Bronze,Supporter: New Content,0.00883906289048097
183,Fantasy Footballers,Bronze,Supporter: Segment-Specific Library,0.0007669474289797071
184,Fantasy Footballers,Gold,Engagement Anchor,0.06847586276193053
185,Fantasy Footballers,Gold,Experimentation,0.028258491781663446
186,Fantasy Footballers,Gold,Supporter: New Content,0.06110988275130569
187,Fantasy Footballers,Gold,Tentpole Anchor,0.1440566541260398
188,Fantasy Footballers,Platinum,Engagement Anchor,0.11403438541512638
190,Fantasy Footballers,Platinum,Supporter: New Content,0.08559422042283447
191,Fantasy Footballers,Platinum,Tentpole Anchor,0.45155164427975913
192,Fantasy Footballers,Silver,Buzz/Prestige/Brand Support,0.01423909337403192
193,Fantasy Footballers,Silver,Engagement Anchor,0.03772804073075698
194,Fantasy Footballers,Silver,Experimentation,0.034358742246186715
196,Fantasy Footballers,Silver,Supporter: Broad Library,0.10188944171423339
197,Fantasy Footballers,Silver,Supporter: New Content,0.025690253963771514
198,Food & Home Watchers,Bronze,Buzz/Prestige/Brand Support,0.006804090817201018
199,Food & Home Watchers,Bronze,Engagement Anchor,0.0601129988620256
200,Food & Home Watchers,Bronze,Experimentation,0.009906814614719357
202,Food & Home Watchers,Bronze,News & Sports,0.0029002807050515517
203,Food & Home Watchers,Bronze,Supporter: Broad Library,0.006936263712703483
204,Food & Home Watchers,Bronze,Supporter: New Content,0.017204843545480627
205,Food & Home Watchers,Bronze,Supporter: Segment-Specific Library,0.004230545277499167
206,Food & Home Watchers,Gold,Engagement Anchor,0.09392210612845933
207,Food & Home Watchers,Gold,Experimentation,0.030736520995585957
208,Food & Home Watchers,Gold,Supporter: New Content,0.08375919433917584
209,Food & Home Watchers,Gold,Tentpole Anchor,0.05511386874420182
210,Food & Home Watchers,Platinum,Engagement Anchor,0.23105119181071007
