,ckg_series_id,season_number,title_name,medal,content_sub_pillar,content_cost
163,b2dd089c-9749-47c6-8299-500cdf4f8754,0,Batman and Superman: Battle of the Super Sons,Bronze,Supporter: New Content,1057500.0
164,0ccec63f-86ae-4c3d-967b-ab1dcd9b900e,0,Trainwreck,Bronze,Supporter: Broad Library,3600000.0
165,61ea2e08-1889-44fe-b116-f84fb436da85,0,A Christmas Serenade,Bronze,NaN,
167,3ce22b63-73e0-4bbf-8b70-0b24e22dd5c2,2,The Haunted Museum,Bronze,Supporter: New Content,
168,0b68fe9a-5867-49ed-a5ac-52b34b8eb7e8,0,Season 1 Recap,Bronze,NaN,
169,b79674a9-8abe-4da6-b471-b55013501beb,0,The Silence of the Lambs,Bronze,Supporter: Broad Library,432000.0
170,a12bf2db-1be0-4300-8933-3f042708ce28,0,Turtles All the Way Down,Bronze,Supporter: New Content,
172,3b8d4811-796c-419e-bfba-d58abc9a2471,1,Evil Lives Here: The Killer Speaks,Bronze,Supporter: New Content,
173,80bc4915-c826-499f-9961-b422b17559b6,0,Barbie,Platinum,Engagement Anchor,33000000.0
174,30786a8b-8c9c-4207-bec4-cfbd9e3054fe,0,Raiders of the Lost Shark,Bronze,Supporter: New Content,
175,abc00905-6a23-46f6-a531-20214bb06f37,22,Real Time With Bill Maher,Bronze,Supporter: New Content,49800000.0
176,aa0bb70f-e4c0-4dc2-b2e5-bb1acda454d8,1,Motel Rescue,Bronze,Supporter: Segment-Specific Library,
177,8672fe43-526d-4c08-ba5b-d73efeeddd2d,0,The Longest Ride,Bronze,Supporter: Broad Library,10089396.86
180,6b0b9e7b-a8d8-45cc-b675-a1e92946b985,0,Paul Blart: Mall Cop,Bronze,NaN,487922.293
181,2c315d70-082d-44e4-b5fc-1085a62e8d90,0,Coraline,Bronze,Supporter: Broad Library,
182,92560c9b-551c-4fe8-82aa-ae5e023e2d69,14,Evil Lives Here,Bronze,Supporter: Segment-Specific Library,
183,five_things_news_talk_show,0,5 Things...,Bronze,News & Sports,
184,d6367f88-c0bc-4acf-a836-70f0250b434e,4,Unsellable Houses,Bronze,Supporter: Segment-Specific Library,
185,e94a6dcc-843e-4dfb-8669-49488daf9489,0,Evil Dead,Bronze,Supporter: Broad Library,360000.0
186,ca48b672-9876-4adc-bd69-ea2802f9dd1c,1,Roadkill,Bronze,Supporter: Segment-Specific Library,
187,1c25769e-e306-40bd-9a93-5b26068d3020,2,Ghost Adventures: House Calls,Bronze,Supporter: New Content,
188,68a7dc40-b6bb-4dba-82cb-623791d243d0,1,Car Fix,Bronze,Supporter: Segment-Specific Library,
190,56bdebc6-3ee6-48ee-ab9f-a3cd789eddd7,0,John Early: Now More Than Ever,Bronze,Supporter: New Content,1900000.0
192,92007c66-e44b-4f3e-bb0d-a4eeaf33b3f8,0,The Chronicles of Narnia: The Voyage of the Dawn Treader,Bronze,NaN,
194,eaf88a81-92af-4a9c-a822-87c9a5c27b28,0,Snowden,Bronze,Supporter: Broad Library,175000.0
195,8da0ffc7-1e54-4e56-b0ce-87ef7d2b615a,0,Platoon,Bronze,Supporter: Broad Library,360000.0
196,9a905ef7-6032-45a7-b8fc-c40af7351216,0,Cobra,Bronze,Supporter: Broad Library,420000.0
197,9a0737a5-66e8-4a82-8c0c-5fbe5ccb5a22,1,Still A Mystery,Bronze,Supporter: Segment-Specific Library,
198,797891c3-9ee4-41d3-b101-bb289dc1feb4,0,House at the End of the Street,Bronze,Supporter: Broad Library,250002.0
199,2746f054-b2c9-46e2-957c-3369fcd9feff,0,BS High,Bronze,Supporter: New Content,3300000.0
200,c835f746-a4dd-4ca6-98db-d69282bddcbc,0,The Host (2007),Bronze,Supporter: Broad Library,
201,7763c6ba-6237-4018-9e65-929ce18838b3,4,Naked Attraction,Bronze,Supporter: New Content,
202,007e3b71-3772-4438-9133-531a3b4fe505,2,Down Home Fab,Bronze,Supporter: New Content,
203,bf3c05ab-23d6-48ae-922c-25e11b2348b5,7,Iron Resurrection,Bronze,Supporter: Segment-Specific Library,
204,681c7b01-1765-4e3b-b667-374739b69982,1,Revealed,Bronze,Supporter: Segment-Specific Library,
205,58992e91-2a49-4a4a-afa3-7ec54f4074a1,0,Knowing,Bronze,Supporter: Broad Library,225000.0
206,eb645373-20de-4349-a2f4-5c01ccc5fb9b,0,Taken 3,Bronze,Supporter: Broad Library,3257701.0
207,cd30d3fc-0f31-44e4-82de-c262fd47710b,0,Florida Shark: Blood in the Water,Bronze,Supporter: New Content,
208,5dd43577-b7de-492e-8a7a-075170c39030,0,Wes Craven Presents: Dracula III: Legacy,Bronze,Supporter: Broad Library,90000.0
209,c6a45e0c-358b-4bee-98a5-f0500ca52daf,1,Battle on the Mountain,Bronze,Supporter: New Content,
210,2b17c49a-ca3f-4ac4-b5bc-f5c87c006bd7,0,Barbershop,Bronze,Supporter: Broad Library,432000.0
211,b8020187-62c2-4a95-a9c5-11f1b8a89a08,3,Blippi Wonders,Bronze,Supporter: New Content,175954.0
212,921c5b26-d6d6-4d60-b2a9-e6444cac00d8,0,The Wild Bunch: The Original Director's Cut,Bronze,Supporter: Broad Library,
213,fort_william_mountain_bike,0,FORT WILLIAM: Mountain Bike,Bronze,NaN,
214,0632e39f-4896-4b54-a44b-c0455e469778,0,The Rookie (1990),Bronze,Supporter: Broad Library,
215,7f246a77-07d8-42f4-82bf-dbe87b470bc2,0,All That Breathes,Bronze,Supporter: New Content,800000.0
