,ckg_series_id,season_number,title_name,content_strategy_category,medal,content_cost
48554,0b56e11a-a2ce-4225-9f05-2579b252dddb,2,Winning Time: The Rise of the Lakers Dynasty,Drama Series (OP),Gold,140100000.0
48788,0b8c7185-7ca0-4065-a43f-7b69a2888056,0,A View to a Kill,Movies (Acq),Bronze,252000.0
49186,0bbe998a-23b8-49a2-9729-976d53af74be,0,The Color Purple,Movies (Acq),Gold,29417500.0
48131,0c092cc1-9c12-4bd5-a830-410bb83e9d1b,0,Ghost Adventures: Lake of Death,Specials,Bronze,
49641,0c222026-d13d-4b7d-8190-43d44adbc380,0,Raging Bulls,Specials,Bronze,
48354,0c2ef771-5462-4b48-8dfa-f654825a6d11,0,Shirley,Movies (Acq),Bronze,350000.0
47894,0c3f3213-a8d0-4abf-a8cc-10c7d09aff25,12,Kids Baking Championship,Unscripted Series (Acq),Bronze,
48133,0cab4de4-f48f-4805-b960-6996c3d38da1,1,Last Call: When a Serial Killer Stalked Queer New York,Docu-Series (OP),Bronze,
48452,0cc28d67-1b37-4f87-932f-783a3d8ee7df,0,Army of Darkness,Movies (Acq),Bronze,40000.0
49190,0ccec63f-86ae-4c3d-967b-ab1dcd9b900e,0,Trainwreck,Movies (Acq),Bronze,3600000.0
47458,0ce306d1-d328-4586-be5b-08ab83edf1b0,0,Piranha 3-D,Movies (Acq),Bronze,
47618,0cfc7154-e410-4203-bf7d-efbdb680a81b,2,Crime Scene Confidential,Docu-Series (Acq),Bronze,
48860,0cfde899-2b89-463e-a6fb-6325a0f5b49b,0,Children of the Corn 666: Isaac's Return,Movies (Acq),Bronze,81000.0
49174,0d245c4d-f117-4e5e-8798-f6fd0a3c76f9,0,The Hot Rod Story,Movies (Acq),Bronze,
47411,0d438dc0-03ca-45ac-a6cf-50527e0a7411,35,Guy's Grocery Games,Unscripted Series (Acq),Bronze,
49765,0d438dc0-03ca-45ac-a6cf-50527e0a7411,32,Guy's Grocery Games,Unscripted Series (Acq),Bronze,
47934,0d438dc0-03ca-45ac-a6cf-50527e0a7411,34,Guy's Grocery Games,Unscripted Series (Acq),Bronze,
48351,0d438dc0-03ca-45ac-a6cf-50527e0a7411,33,Guy's Grocery Games,Unscripted Series (Acq),Bronze,
48455,0d470cf7-5078-4af5-8b3b-f5b3fe2401f5,0,Uptown Girls,Movies (Acq),Bronze,360000.0
49754,0d5e35df-4c10-48a4-b2bc-4e7c1a1f7f5c,1,Hooptie World Championship,Unscripted Series (Acq),Bronze,
47828,0d63ae15-8052-412c-bb1e-8cabf3cabeea,0,The Giver,Movies (Acq),Bronze,120000.0
48462,0d66aca9-cc58-4f8e-b16d-b74d174d3e7c,0,Insidious: Chapter 2,Movies (Acq),Bronze,817926.0
49044,0d6fa54b-76a5-42d9-b106-6c25ab24c9bf,1,Barbie Dreamhouse Challenge,Unscripted Series (Acq),Bronze,
48910,0d7ba678-b41c-47bc-acf6-74f6d38001a2,2,Rico to the Rescue,Unscripted Series (Acq),Bronze,
48535,0d8e8ad2-2bfa-43e1-b53e-1bc5ff2f3fb3,0,Goldfinger,Movies (Acq),Bronze,252000.0
49112,0d9842b3-6ffa-45b7-9ead-21d01e32823f,1,Street Outlaws vs. the World,Unscripted Series (Acq),Bronze,
