,ckg_series_id,season_number,title_name,content_strategy_category,medal,content_cost
48563,84b37d15-6fdc-4dcc-80ff-59dafac495b7,0,Leviathan,Movies (Acq),Bronze,216000.0
47815,84b706a2-0bf8-4ddf-bf0a-3212546b6dac,0,Miss March,Movies (Acq),Bronze,230000.0
49025,84bee0ab-de7b-4f56-93b1-32400f21e6c0,2,YOLO,Adult Animation Series (Acq),Bronze,1273107.0
49350,84d6c4a1-5092-4490-b7ab-6cb2983cb8b0,0,OWN Spotlight: They Call Me Dad,Specials,Bronze,
48163,851ad3b3-c7ea-4e3d-af7c-06045a93f922,0,Going to Mars: The Nikki Giovanni Project,Docu-Movies (OP),Bronze,1500000.0
48513,852e5155-4e5e-4a2f-9ee5-52890a3291bd,0,Sharkwrecked: Crash Landing,Specials,Bronze,
49505,858168a2-1172-40ae-a16e-62f628e5ec66,1,Desert Car Kings,Unscripted Series (Acq),Bronze,
48412,85969931-6d9c-44d6-8376-91482ec71d48,1,Home Sweet Rome,,Bronze,
48671,85bab997-4890-49be-8345-8b6ec3046d4a,0,Sorority Row,Movies (Acq),Bronze,150000.0
47764,86312320-8f2e-4b45-b06f-376224def821,2,Our Flag Means Death,Comedy Series (OP),Gold,46900000.0
48252,8643e872-b65e-4ae0-9ca3-b2a862e35a48,0,Alien Sharks: Stranger Fins,Docu-Movies (Acq),Bronze,
47504,8661f9fe-4958-4763-911a-4e27c166bd22,5,The Dog House: UK,Unscripted Series (OP),Bronze,1212750.0
48655,8661f9fe-4958-4763-911a-4e27c166bd22,4,The Dog House: UK,Unscripted Series (OP),Bronze,945000.0
48110,8672fe43-526d-4c08-ba5b-d73efeeddd2d,0,The Longest Ride,Movies (Acq),Bronze,10089396.86
47575,869dbade-006e-4c97-919b-81a889473c8b,0,Dr. Seuss' Horton Hears a Who!,Movies (Acq),Bronze,
48123,86b029e1-f2dc-4cd1-8401-373d63121af5,0,Cocaine Sharks,Specials,Bronze,
48056,87d7ccf9-ab08-4d22-b216-4ea000fa2eb4,7,People Magazine Investigates,Docu-Series (Acq),Bronze,
49429,87e1b4db-0b21-481d-a8ed-323f31eb2807,0,Sharks in Paradise,Specials,Bronze,
47936,87e643bf-154d-43ed-8fe5-6e63a840ec78,0,American Gangster,Movies (Acq),Bronze,
48393,880aa691-6635-4bba-926e-4ccd45ec4278,0,The Giver,Movies (Acq),Bronze,150000.0
48707,8829503a-aa2e-41e7-913f-93066036f08a,0,Total Dramarama: A Very Special Special That's Quite Special,Specials,Bronze,
48780,885895fd-e93d-47b7-8fbe-29b637f78fd1,0,Taking On Taylor Swift,Docu-Movies (Acq),Bronze,
47644,8869d406-f6b6-48f2-80a7-f15bf8740139,0,The Ballad of Lefty Brown,Movies (Acq),Bronze,40000.0
47541,88936403-3039-4fa2-91ff-37abf185ea53,0,Joy,Movies (Acq),Bronze,13132455.02
48484,8896e9de-f294-4d46-b5ac-c985e9e9c35d,0,Crikey! It's Shark Week,Specials,Bronze,
49120,89069a31-23cf-4302-ac0d-30621cab6191,1,Tuner Battle Week,Unscripted Series (Acq),Bronze,
47981,8919b310-670a-48a0-b830-2cb8a83fc2c5,1,Wanted: Millionaire,Docu-Series (OP),Bronze,16488.53
48038,892bef6f-2c42-4b41-856a-c41381f5103d,1,Love Has Won: The Cult of Mother God,Docu-Series (OP),Silver,6600000.0
48904,8931dfbf-d113-43de-8ee2-43bb594330d1,7,Body Cam,Docu-Series (Acq),Bronze,
48338,8931dfbf-d113-43de-8ee2-43bb594330d1,8,Body Cam,Docu-Series (Acq),Bronze,
49803,893c4835-e237-4682-8ec6-6dd047570386,3,Who's Talking to Chris Wallace?,Docu-Series (Acq),Bronze,600000.0
48277,893c4835-e237-4682-8ec6-6dd047570386,5,Who's Talking to Chris Wallace?,Docu-Series (Acq),Bronze,510000.0
48798,893c4835-e237-4682-8ec6-6dd047570386,4,Who's Talking to Chris Wallace?,Docu-Series (Acq),Bronze,440000.0
47468,893c4835-e237-4682-8ec6-6dd047570386,2,Who's Talking to Chris Wallace?,Docu-Series (Acq),Bronze,400000.0
49231,8940b40c-9e62-45e1-af18-efcf774e1a21,0,The Nun II,Movies (Acq),Platinum,34506829.2
47685,8996a19c-8e8b-4d8b-8f1a-fa146751d544,1,Full Circle,Drama Series (OP),Silver,69800000.0
48570,89a48160-9b48-4218-963f-3b9a06e15715,0,Leap of Faith,Movies (Acq),Bronze,
48343,89bc0780-2af1-461b-8d3d-5b1fe58bc7a1,0,Kids Halloween Baking Championship,Specials,Bronze,
49159,89c8682d-8627-42dc-970f-42d64586c2fa,0,A Tale of Autumn,Movies (Acq),Bronze,
48866,89d330d8-017a-4902-8293-528ae579826a,0,Shark House,Specials,Bronze,
49217,89d4f9ea-a07d-428b-b074-eb094414444e,0,The Ringleader: The Case of the Bling Ring,Docu-Movies (OP),Bronze,2300000.0
48155,89e5534e-03b8-45a1-8005-33d9ad30ecb1,27,On the Case with Paula Zahn,Docu-Series (Acq),Bronze,
47806,89e5534e-03b8-45a1-8005-33d9ad30ecb1,26,On the Case with Paula Zahn,Docu-Series (Acq),Bronze,
49583,8a4d8837-f804-49d8-b6f3-76404faf888d,1,NASCAR All In: Battle For Daytona,Unscripted Series (Acq),Bronze,
48564,8a8a9838-8621-499e-891b-86f9ccb646ba,0,Death Wish 3,Movies (Acq),Bronze,225000.0
49091,8af5da1e-0a5c-4345-ab8f-523de700591c,1,Modified,Unscripted Series (Acq),Bronze,
49042,8b161e86-fbce-497f-a8b9-026765b04ca9,0,Children of the Corn: The Gathering,Movies (Acq),Bronze,81000.0
47486,8b1e3c8b-f38d-46ae-bfc9-7cdab90b262a,0,Dionne Warwick: Don't Make Me Over,Docu-Movies (OP),Bronze,100000.0
49651,8b211a5b-dee7-4c61-97c7-f832bb4d7580,0,Rogue Sharks,,Bronze,
47870,8b39bb4e-7015-4143-801c-3694e7003801,0,Kingsman: The Secret Service,Movies (Acq),Bronze,3600000.0
48902,8b8caa6f-5259-4eff-a2ab-95fcabfd7a66,0,Critters III,Movies (Acq),Bronze,
47911,8ba538a7-3abd-447e-b3f6-6896045af970,0,Rookie of the Year,Movies (Acq),Bronze,270000.0
47872,8bcc344b-11f4-4702-9d05-8f44a444a7d3,1,Hot Dish with Franco,Unscripted Series (Acq),Bronze,
48523,8c38bbb0-c314-49f8-afea-54996d6bbe40,2,The Playboy Murders,Docu-Series (Acq),Bronze,
49001,8c48618d-bb28-43f5-8dd9-d0fea80ef944,0,Whose Streets?,Docu-Movies (Acq),Bronze,60000.0
47579,8c49d72f-f89e-41bd-964a-bdd70a87c00e,0,Forgetting Sarah Marshall,Movies (Acq),Bronze,
47588,8c525c2a-ae44-4d75-849f-982458f58f5f,0,Just Cause,Movies (Acq),Bronze,385000.0
48677,8c6a4caa-0df0-4e9a-a5aa-9fde9331b4ee,0,The Expendables,Movies (Acq),Bronze,100500.0
47671,8c806135-2347-4d5d-8876-15df3de8ecef,0,Killing Them Softly,Movies (Acq),Bronze,200000.0
48005,8ca60da0-8aa1-43b2-9016-80c70a4e1e3b,0,Fast Food Nation,Movies (Acq),Bronze,230000.0
48333,8cbb025b-5071-4227-a44b-6fb6dd559e89,0,Justice League: Warworld,Movies (Acq),Bronze,643500.0
48261,8cbf98d7-4a21-465c-b392-e69fbd49f12b,0,Taylor Mac's 24-Decade History of Popular Music,Docu-Movies (OP),Bronze,2500000.0
48888,8ccb1cc2-4a3f-4929-8a90-900b1ed9d44d,2,Perry Mason,Drama Series (OP),Silver,118800000.0
48601,8ccfb7ce-b6c6-4601-bda8-d4810ed26395,0,RoboCop,Movies (Acq),Bronze,720000.0
49482,8d028c50-0862-473f-a8ff-a18111acd207,0,Return to the Isle of Jaws,Docu-Movies (Acq),Bronze,
48122,8d10b9dd-1876-47af-a67f-da3035768892,0,Jaws vs. the Meg,Specials,Bronze,
48319,8d1dbff9-424a-4ece-ba60-c7fd398d1d48,0,At Middleton,Movies (Acq),Bronze,150000.0
48934,8d33a4da-32b0-44ce-a5d8-06b34ea90751,7,Roadkill Garage,Unscripted Series (Acq),Bronze,
48681,8d33a4da-32b0-44ce-a5d8-06b34ea90751,2,Roadkill Garage,Unscripted Series (Acq),Bronze,
48282,8d33a4da-32b0-44ce-a5d8-06b34ea90751,1,Roadkill Garage,Unscripted Series (Acq),Bronze,
49426,8d33a4da-32b0-44ce-a5d8-06b34ea90751,5,Roadkill Garage,Unscripted Series (Acq),Bronze,
48981,8d33a4da-32b0-44ce-a5d8-06b34ea90751,3,Roadkill Garage,Unscripted Series (Acq),Bronze,
49552,8d33a4da-32b0-44ce-a5d8-06b34ea90751,4,Roadkill Garage,Unscripted Series (Acq),Bronze,
48892,8d33a4da-32b0-44ce-a5d8-06b34ea90751,6,Roadkill Garage,Unscripted Series (Acq),Bronze,
47611,8d33a4da-32b0-44ce-a5d8-06b34ea90751,8,Roadkill Garage,Unscripted Series (Acq),Bronze,
48889,8d33a4da-32b0-44ce-a5d8-06b34ea90751,9,Roadkill Garage,Unscripted Series (Acq),Bronze,
47740,8d35e796-3e67-41fb-ab72-e68857297121,1,Roadworthy Rescues,Unscripted Series (Acq),Bronze,
49027,8d35e796-3e67-41fb-ab72-e68857297121,2,Roadworthy Rescues,Unscripted Series (Acq),Bronze,
48374,8d4640d7-fb4c-4ea8-bdc5-2c63a8b5ffe0,0,Edge of Tomorrow,Movies (Acq),Bronze,3477323.0
47714,8d4d89c3-d203-4853-aa27-5143b0d78e72,1,Hustlers Gamblers Crooks,Unscripted Series (Acq),Bronze,
48136,8d5817f7-7e84-4332-88da-a17aff80e808,0,The Naked Gun: From the Files of Police Squad!,Movies (Acq),Bronze,250000.0
48898,8d7077fd-e7b8-4c4e-9d36-213a4af85028,0,A Tale of Winter,Movies (Acq),Bronze,
49533,8d7bcad0-1a2e-472a-98af-2ab7371f42ec,7,Engineering Catastrophes,Unscripted Series (Acq),Bronze,
47923,8da0ffc7-1e54-4e56-b0ce-87ef7d2b615a,0,Platoon,Movies (Acq),Bronze,360000.0
49156,8daaf7d6-cf0c-49af-9b3d-d33eb269ae8f,1,Behind the Wheel With Motortrend,Unscripted Series (Acq),Bronze,
47706,8db82f99-0c69-4a9f-b125-7e0eb1bb4dd2,0,Evil Dead Rise,Movies (Acq),Platinum,23531568.9
48183,8ddf4ab1-f2db-4287-8d11-d4154c56ea88,4,Help! My House Is Haunted,Unscripted Series (Acq),Bronze,
48765,8de37081-4851-4064-9d29-97aa75f98505,0,I Am Wrath,Movies (Acq),Bronze,150000.0
47904,8e189dce-a76a-4577-a72d-e053abca0c49,0,Alan Pakula: Going for Truth,Docu-Movies (Acq),Bronze,
48632,8e1ed6b4-a309-45ef-bec7-e2fed3b8d5c7,0,SW21: Shark Week Best In Show,Specials,Bronze,
49814,8e26f7b9-47fe-4b5a-97ae-0acba461749f,0,A Sisterly Christmas,Movies (Acq),Bronze,
49056,8e7013f0-c6b5-4735-9415-ec50e1119338,1,Only You: An Animated Shorts Collection,Adult Animation Series (OP),Bronze,
49691,8e7b85d0-d34c-4608-9abc-b24ef39da9ae,0,All-Star Halloween Spectacular,Specials,Bronze,
49262,8e815b42-5541-4888-a53a-96b10bc9007e,0,Girl With A Pearl Earring,Movies (Acq),Bronze,175000.0
48773,8e89249c-161e-4161-9293-826a806ebc29,0,Johnny Dangerously,Movies (Acq),Bronze,230000.0
47520,8e89751e-39c8-4b42-8719-5c17f973dd72,0,Deadfall,Movies (Acq),Bronze,60000.0
49251,8e8b5045-b6db-4b1e-8638-46c6b861044d,0,Teen Spirit,Movies (Acq),Bronze,90000.0
47443,8efb6c5a-4cb5-4fa2-9dce-23748529f62d,0,Rick and Morty Yule Log,Specials,Bronze,
48297,8f165ff4-9613-4334-88da-4f2de805183c,2,Beachside Brawl,Unscripted Series (Acq),Bronze,
47731,8f264e31-0dbe-4f05-a144-03c83021d831,0,Barbie (with ASL),Movies (Acq),Bronze,
48895,8f437b2c-878e-426f-a9a9-0190cc9b0f33,2,Ambient Swim,Adult Animation Series (Acq),Bronze,60000.0
48883,8f528865-81b0-44fc-b64f-0cdeeb2211e2,0,Air Jaws: Back from the Dead,Specials,Bronze,
48033,8f71a9e4-b08c-47db-ba3b-39366e07d3f3,0,Spring Breakers,Movies (Acq),Bronze,600000.0
48730,8f8cfe8d-ec80-4f27-b075-c84fe9593d31,1,Naked And Afraid: Last One Standing,Unscripted Series (Acq),Bronze,
48930,8faf7cee-b6d7-4477-b5f6-9a578b601d27,0,You Only Live Twice,Movies (Acq),Bronze,252000.0
47741,8fd5399f-15eb-4261-8826-95722f01566a,3,90 Day Fiance Pillow Talk: Love in Paradise,Unscripted Series (Acq),Bronze,
47855,90016aaa-2f1d-40d8-b214-2de30bccc99a,0,The Social Network,Movies (Acq),Bronze,480000.0
48179,900d3f40-99ff-4275-b730-e4d7a09b4d0f,1,Lost Women of Highway 20,Docu-Series (Acq),Bronze,
47809,9068c150-7978-4dc2-8763-741cdab3f2a0,1,The Elf on the Shelf: Sweet Showdown,Unscripted Series (Acq),Bronze,
47857,906e8f8d-001a-468e-a86a-3b91bfb70bf2,0,Booty Call,Movies (Acq),Bronze,872408.0
49034,908302ae-44f5-41b2-897c-f6cc42ff2d38,1,NASCAR 2020: Under Pressure,Unscripted Series (Acq),Bronze,
48868,909a3a19-4186-4830-ba9c-659351b03282,0,Great White Shark Babies,Specials,Bronze,
47566,90b763a6-4ebe-4743-9367-a9d35b893d07,0,Wes Craven Presents: They,Movies (Acq),Bronze,117000.0
48835,90d4bc9d-f26d-47fe-a31c-d667a8e7a051,0,The Brothers Bloom,Movies (Acq),Bronze,150000.0
48899,90db41d8-41a4-45ca-9091-30344ce658c3,0,Legally Blondes,Movies (Acq),Bronze,144000.0
48368,90de4fd8-f3d5-4caa-ad89-b1ced199487b,1,CrimeFeed,Docu-Series (Acq),Bronze,
47748,90e32ed5-bae8-4934-981b-e90f57569a02,0,Moneyball,Movies (Acq),Bronze,77547.0
49388,90fae3ed-dd97-4dbe-a0f4-48618c751fc7,1,Highway to Sell,Unscripted Series (Acq),Bronze,
47829,910155f3-bd8c-459b-80ed-fabc619ba244,0,Christmas Revisited,Movies (Acq),Bronze,
48735,91023f52-7c4f-48c5-96b3-b5b14831ca17,1,Home Reimagined,Unscripted Series (Acq),Bronze,
48268,91351155-82d1-4dbc-810b-22c6f91f893f,0,Air Jaws 2020,Specials,Bronze,
48561,9170f7cc-24a1-41f2-bb00-3240e661c720,0,Wayne's World 2,Movies (Acq),Bronze,300000.0
47865,9175aa9f-c5aa-406d-988a-b9210a7bffb8,1,Lakefront Empire,Unscripted Series (Acq),Bronze,
48340,91ae339e-b4f4-4b8e-a57f-5d9cb2d8e13e,0,Mirrors,Movies (Acq),Bronze,
47888,91ae4caa-dfc0-427c-b745-6e68714e6120,0,Ramona and Beezus,Movies (Acq),Bronze,
47639,91d59396-ebba-4188-9dd7-db7411c9bbd1,0,Alien Sharks: Close Encounters,Specials,Bronze,
47463,91de663f-e309-45e3-8522-ab49464047d9,0,Monster Mako: Perfect Predator,Specials,Bronze,
48410,91fbd7bc-86a0-40f9-a300-aee659469195,0,Necessary Roughness,Movies (Acq),Bronze,200000.0
48426,921c5b26-d6d6-4d60-b2a9-e6444cac00d8,0,The Wild Bunch: The Original Director's Cut,Movies (Acq),Bronze,
49227,922f1044-1886-4938-9ee5-b890421b77f9,0,Friday the 13th Part VIII: Jason Takes Manhattan,Movies (Acq),Bronze,225000.0
47704,923d7f41-cb03-4c2a-bbde-00be83b7f909,1,Does Murder Sleep?,Docu-Series (Acq),Bronze,
48608,92560c9b-551c-4fe8-82aa-ae5e023e2d69,15,Evil Lives Here,Docu-Series (Acq),Bronze,
47752,92560c9b-551c-4fe8-82aa-ae5e023e2d69,14,Evil Lives Here,Docu-Series (Acq),Bronze,
47531,925902ef-48be-4398-b28b-76944b1b60ce,0,X-Men Origins: Wolverine,Movies (Acq),Bronze,
47972,925b4446-fd9f-48e7-9de3-17bc5a290205,0,Pride And Glory,Movies (Acq),Bronze,
47958,927ee6c5-6ee8-4c00-85bd-693e201b8785,0,The Guilty,Movies (Acq),Bronze,60000.0
49643,92b357c4-a3e3-42bf-93cd-00657f93518b,9,Restoration Garage,Unscripted Series (Acq),Bronze,
49661,92b357c4-a3e3-42bf-93cd-00657f93518b,7,Restoration Garage,Unscripted Series (Acq),Bronze,
49594,92b357c4-a3e3-42bf-93cd-00657f93518b,8,Restoration Garage,Unscripted Series (Acq),Bronze,
47876,92edc119-4ad2-4285-a2a5-bee475617058,4,FLCL,Adult Animation Series (Acq),Bronze,1567500.0
48647,92edc119-4ad2-4285-a2a5-bee475617058,5,FLCL,Adult Animation Series (Acq),Bronze,1567500.0
48144,930c0869-cd7d-4b83-88c2-884c9629e12c,0,Paranormal Activity 3,Movies (Acq),Bronze,285000.0
47420,93131fdf-51a7-4a68-9db2-3450c21a9bf2,0,Child's Play,Movies (Acq),Bronze,216000.0
48621,932627dc-c209-4888-8ea7-d75a404a7cc9,4,Forensic Files II,Docu-Series (Acq),Bronze,1200000.0
48672,9327503f-cc49-4202-97c6-59e7ff9ca91f,0,Hail Satan?,Docu-Movies (Acq),Bronze,60000.0
47558,93472ca1-5b9a-4ca0-afd5-95ca5ce028b9,0,The Bourne Ultimatum,Movies (Acq),Bronze,
48876,936ef8ba-2dee-426f-bedb-05766287f6f0,0,Jaws of the Deep,Specials,Bronze,
47956,93a0696b-b8ea-4d64-80e5-66f9fa4ac1c0,5,sMothered,Unscripted Series (Acq),Bronze,
48406,93a6cac6-af5b-4de1-85ad-2519cfbc0d98,2,Rap Sh!t,Comedy Series (OP),Silver,38600000.0
47485,93ba22b1-833e-47ba-ae94-8ee7b9eefa9a,1,The Last of Us,Drama Series (OP),Platinum,216900000.0
47595,942f927b-2654-4827-a6c9-ef7d9859e2a9,1,People Magazine Investigates: Surviving A Serial Killer,Docu-Series (Acq),Bronze,
49290,94c6e4e7-694b-4767-85dd-e92aa4bc30b7,0,Narc,Movies (Acq),Bronze,250000.0
48112,94f786c8-a9ac-4e3c-8588-6ddf7dbd0102,0,The Expendables 3,Movies (Acq),Bronze,100500.0
48372,95fb1cbe-60e1-4c9b-9562-e2b310b0b63e,9,Fear Thy Neighbor,Docu-Series (Acq),Bronze,
49364,9607ae81-4a51-47ab-b889-880bbfb39d21,0,Sharks of Ghost Island,Specials,Bronze,
48819,960eaa30-dfa5-492f-93bc-2a554fd47205,0,Insidious: Chapter 3,Movies (Acq),Bronze,2440079.0
48944,9638bb61-9253-43b3-a82a-511caefc049e,0,Teen Titans Go! See Space Jam,Movies (Acq),Bronze,720000.0
48081,9652f2da-ba93-4b4c-988a-de935d58974d,0,The Hunt for Red October,Movies (Acq),Bronze,325000.0
48400,966044d9-18ee-434d-88e0-5f8cba9f014a,0,American Honey,Movies (Acq),Bronze,475000.0
48863,968028f5-bfce-43a1-a944-3aa8e9bfbc2a,0,A Life Less Ordinary,Movies (Acq),Bronze,230000.0
49542,9685cded-9626-4d84-b8d5-ab8e2965ead8,0,The Mad Miss Manton,Movies (Acq),Bronze,
48995,9698fd1c-9a88-4cc2-878e-436e57707e26,0,Best Of Enemies,Docu-Movies (Acq),Bronze,60000.0
48728,96cfe7e2-a136-4b74-9870-c7d54a2dc0a3,1,Shaun White: The Last Run,Docu-Series (OP),Silver,2921600.0
48547,96e71aa8-cb83-4f83-8aa6-4079765effa9,0,Free Birds,Movies (Acq),Bronze,260000.0
47978,96f3d3b7-ad27-466c-852c-dc8652225938,1,White House Plumbers,Drama Series (OP),Gold,102500000.0
47606,972eccc1-5962-4772-83cd-c30eba596ae6,0,Brooklyn,Movies (Acq),Bronze,8215275.293
48893,97a6601f-76be-4cfa-b297-9dc9116aff88,1,Love & Marriage: Detroit,Unscripted Series (Acq),Bronze,
48625,980fcb29-8b7d-4c37-b070-b9dfb6147ddd,0,The Laws of Jaws,Specials,Bronze,
48600,98201638-b2fd-4d1a-a75b-d32e93a5cadd,0,Over Her Dead Body,Movies (Acq),Bronze,
48583,9823b0e2-e64f-405d-9d44-f81a520be4f7,1,Kevin Hart's Muscle Car Crew,Unscripted Series (Acq),Bronze,
47505,98458537-5f36-474f-9617-aff73a820191,0,Bride Wars,Movies (Acq),Bronze,
47808,9855b344-0295-4c68-8c8a-cb2494615831,0,The Wash,Movies (Acq),Bronze,208636.0
49718,9867a35c-702e-44c8-8a9d-49dd420dafa9,0,I Origins,Movies (Acq),Bronze,48665.0
48534,987a8f5e-c373-478b-8c62-38caa67a130a,0,Evan Almighty,Movies (Acq),Bronze,
49218,989542c1-2c24-40d9-9a54-aa06f00dca26,1,Best Bite in Town,Unscripted Series (Acq),Bronze,
49743,98b0a337-20d4-4d64-9a39-384853231f46,1,Design Defined,Unscripted Series (Acq),Bronze,
47562,99052533-a71d-4999-b4f1-cb3d54dc24eb,0,Lair of the Great White,Specials,Bronze,
47474,99252e25-e09d-4a13-898d-ba7c55955276,0,Dawn of the Monster Mako,Specials,Bronze,
49373,993f572d-b79a-4483-ae7e-e42dec5eef3f,5,FantomWorks,Unscripted Series (Acq),Bronze,
49567,993f572d-b79a-4483-ae7e-e42dec5eef3f,2,FantomWorks,Unscripted Series (Acq),Bronze,
49632,993f572d-b79a-4483-ae7e-e42dec5eef3f,8,FantomWorks,Unscripted Series (Acq),Bronze,
49124,993f572d-b79a-4483-ae7e-e42dec5eef3f,6,FantomWorks,Unscripted Series (Acq),Bronze,
49323,993f572d-b79a-4483-ae7e-e42dec5eef3f,9,FantomWorks,Unscripted Series (Acq),Bronze,
49280,993f572d-b79a-4483-ae7e-e42dec5eef3f,4,FantomWorks,Unscripted Series (Acq),Bronze,
49602,993f572d-b79a-4483-ae7e-e42dec5eef3f,1,FantomWorks,Unscripted Series (Acq),Bronze,
49746,993f572d-b79a-4483-ae7e-e42dec5eef3f,7,FantomWorks,Unscripted Series (Acq),Bronze,
48384,993f572d-b79a-4483-ae7e-e42dec5eef3f,3,FantomWorks,Unscripted Series (Acq),Bronze,
49704,994dece2-1c1e-4a6f-ae50-7a85cf366c26,1,"Carroll Shelby ""King of the Road""",Unscripted Series (Acq),Bronze,
48466,996ca52c-7ecc-445f-8c6e-fef0d6cd751f,0,The Forbidden Kingdom,Movies (Acq),Bronze,200000.0
48696,999d03eb-c324-4ce5-87ae-48ab7e56b78d,0,Expedition Unknown: Shark Trek,Specials,Bronze,
49767,999de392-e29c-4574-90d7-c99079f038cf,0,The Roads Not Taken,Movies (Acq),Bronze,250000.0
48546,99b35391-b223-42ab-a5ef-ff7b351c1fcf,0,Sharks Gone Wild 3,Specials,Bronze,
48873,9a0737a5-66e8-4a82-8c0c-5fbe5ccb5a22,3,Still A Mystery,Docu-Series (Acq),Bronze,
47985,9a0737a5-66e8-4a82-8c0c-5fbe5ccb5a22,2,Still A Mystery,Docu-Series (Acq),Bronze,
48454,9a0737a5-66e8-4a82-8c0c-5fbe5ccb5a22,1,Still A Mystery,Docu-Series (Acq),Bronze,
48741,9a17f94f-885c-40e4-851c-e3f43672ff9f,1,Angel City,Unscripted Series (OP),Bronze,4600000.0
49611,9a220669-67f7-456a-8cff-6cd87f1813d9,2,In the Kitchen With Abner and Amanda,Unscripted Series (Acq),Bronze,
48633,9a4a3645-74e0-4e4d-9f35-31464b402357,4,True Detective,Drama Series (OP),Gold,89600000.0
49485,9a5645e9-8a19-4fa3-a7b6-d4a604f0f065,0,Return of the Megashark,Specials,Bronze,
47927,9a781bbe-c726-46e5-89e9-76f3435a8447,1,Fixer to Fabulous,Unscripted Series (Acq),Bronze,
48300,9a905ef7-6032-45a7-b8fc-c40af7351216,0,Cobra,Movies (Acq),Bronze,420000.0
49467,9a98aebe-3f73-4d1c-ab7b-2a5f9cd47745,0,The Thomas Crown Affair,Movies (Acq),Bronze,
47634,9a9d67f4-f2ff-44fc-ae28-fc212f55b95f,0,9,Movies (Acq),Bronze,
47976,9aabe565-ab76-45e8-861e-f868742452c6,0,All the Beauty and the Bloodshed,Docu-Movies (OP),Bronze,3200000.0
49320,9ab7ec0e-8e09-4e60-baef-d4a52cd9925c,1,Ride of Your Life With Courtney Hansen,Unscripted Series (Acq),Bronze,
47864,9ac05c31-fd47-4646-be99-46c97a517488,0,You're Next,Movies (Acq),Bronze,150000.0
49816,9acbb6bc-4f65-40b0-86a4-21efb79a16d2,0,The Souvenir,Movies (Acq),Bronze,600000.0
49352,9ae35084-3791-4107-9e65-c088ab136c8c,1,Rev'd Up,Unscripted Series (Acq),Bronze,
49182,9b051060-16e4-4818-8ee3-2702b0839fef,0,Friday The 13th: A New Beginning,Movies (Acq),Bronze,225000.0
47479,9b0e81e3-d555-4d6e-b41c-6fae2f3d7b2b,0,Headhunters,Movies (Acq),Bronze,60000.0
49678,9b107ea5-32f6-4d8d-ad5b-f4da1ddd1303,0,White God,Movies (Acq),Bronze,60000.0
49140,9b263752-9e2c-4713-87d3-36d2e76dec17,0,SW 16: Sharks Among Us,Specials,Bronze,
48209,9b600c90-f6f0-4480-884a-fb028e709f40,0,Silver Linings Playbook,Movies (Acq),Bronze,
49775,9b65352c-a882-42f3-9c8c-80ed90e78c20,1,Spoolin' Up With the DeBertis,Unscripted Series (Acq),Bronze,
48575,9b7a537c-7512-49d3-92b6-d8e91ef7ae2d,0,Being Mary Tyler Moore,Docu-Movies (OP),Bronze,3000000.0
49358,9ba34b73-9998-4fd1-b600-57f4969b7c87,3,Redline TV,Unscripted Series (Acq),Bronze,
49313,9ba34b73-9998-4fd1-b600-57f4969b7c87,1,Redline TV,Unscripted Series (Acq),Bronze,
49115,9ba34b73-9998-4fd1-b600-57f4969b7c87,2,Redline TV,Unscripted Series (Acq),Bronze,
48516,9bcb57c8-b5c6-4a26-8305-fbb49e2258b9,0,The Menu,Movies (Acq),Gold,6873521.0
47537,9bd4bb9f-a7ed-481d-82b2-9f3ce8c79d79,0,Road Trip: Beer Pong,Movies (Acq),Bronze,275000.0
48853,9c008cfd-9993-446e-9595-442e408139b5,0,The Big Hit,Movies (Acq),Bronze,261722.0
49796,9c0fcd3f-238b-42eb-a6b0-c7807080a2a9,0,Bullet Head,Movies (Acq),Bronze,139091.0
47801,9c20ff74-b9f8-4b8f-9dda-d39940c3fc22,10,Whose Line Is It Anyway?,Unscripted Series (Acq),Bronze,750000.0
48120,9c2861d2-fa50-400a-9e2c-13a46b0cb8fb,1,Kim vs Kanye: The Divorce,Docu-Series (Acq),Bronze,
48106,9c824641-a8d8-498a-a45f-d77f39b6a8f4,0,Hoodlum,Movies (Acq),Bronze,215000.0
49043,9cb5eb15-9e12-4d9d-a88f-1d3ebeb89bf2,12,Aqua Teen Hunger Force,Adult Animation Series (Acq),Bronze,51548150.0
47966,9d07cd86-067b-49ab-95c1-45a6b0e21399,0,I Am Love,Movies (Acq),Bronze,60000.0
48978,9d10a610-5011-4a05-89ac-1177591e6bef,5,Holiday Wars,Unscripted Series (Acq),Bronze,
49321,9d1ec30a-dbe5-4ab6-91dc-4ed8dfc7292d,3,Epic Drives,Unscripted Series (Acq),Bronze,
49740,9d1ec30a-dbe5-4ab6-91dc-4ed8dfc7292d,1,Epic Drives,Unscripted Series (Acq),Bronze,
49359,9d1ec30a-dbe5-4ab6-91dc-4ed8dfc7292d,2,Epic Drives,Unscripted Series (Acq),Bronze,
49690,9d328de1-e422-4744-a40b-69037ca0ed00,25,Roadkill Extra,Unscripted Series (Acq),Bronze,
49354,9d328de1-e422-4744-a40b-69037ca0ed00,10,Roadkill Extra,Unscripted Series (Acq),Bronze,
49642,9d328de1-e422-4744-a40b-69037ca0ed00,2,Roadkill Extra,Unscripted Series (Acq),Bronze,
49710,9d328de1-e422-4744-a40b-69037ca0ed00,4,Roadkill Extra,Unscripted Series (Acq),Bronze,
